항목,남,여,총
호흡계통의 질환,4204316,3607482,7811798
감기,1725544,1547450,3272994
알레르기질환,1049104,938117,1987221
손상,1251734,686661,1938395
비염,868377,711928,1580305
환경성질환,760310,594712,1355022
만성질환 ,656959,508463,1165422
치주질환 및 치은염,475716,539208,1014924
치아우식증,458845,555965,1014810
정신 및 행동장애,495051,350021,845072
시력저하 ,353571,378450,732021
장염,337491,288686,626177
근시,219644,237127,456771
후두염,217227,190684,407911
접촉피부염,162824,199720,362544
골절,255698,97190,352888
VDT(영상단말기)증후군,166784,173428,340212
발목염좌긴장,180055,148719,328774
인플루엔자,178338,140560,318898
척추질환,145589,142352,287941
ADHD(주의력결핍 과잉행동장애),196242,64634,260876
성조숙증,65535,178544,244079
알레르기성결막염,111945,115442,227387
환경성질환_아토피성 피부염 ,108049,90620,198669
우울증,70133,117547,187680
중이염,102567,84299,186866
위식도 역류질환,65278,88930,154208
근막통증증후군,63816,55648,119464
각막염,46008,71973,117981
안구건조증,45654,68350,114004
거북목(일자목)증후군,58136,50188,108324
환경성질환_천식,49037,31118,80155
불안장애,33345,43449,76794
[한방]척추질환,40476,36273,76749
폐렴,40914,32746,73660
선천성이상아,40763,31322,72085
경추질환,31931,31154,63085
사시,30920,30751,61671
[한방]발목염좌긴장,33072,27136,60208
대사증후군,34026,25587,59613
빈혈,14181,38079,52260
관절병증,28776,23365,52141
순환계통의 질환,27608,21811,49419
뇌전증,26886,21443,48329
[한방]거북목(일자목)증후군,22798,21941,44739
틱장애,34133,7762,41895
화상,17833,24055,41888
질염,292,38298,38590
망막(맥락막·유리체) 질환,18129,14967,33096
추간판탈출증(디스크) ,19366,12194,31560
당뇨병,17025,14518,31543
방광염,5470,26030,31500
티눈,16665,13528,30193
난청,14436,15611,30047
퇴행성 관절증,15885,12357,28242
[한방]근막통증증후군,14374,13135,27509
추간판탈출증_허리 디스크 ,16849,9863,26712
조울증,10990,15388,26378
탈모,15361,10114,25475
염증성 다발관절병증,13935,10797,24732
[한방]경추질환,12046,11918,23964
자폐증,18504,3595,22099
강박증,12779,8726,21505
백반증,11519,9909,21428
궤양성 대장염 및 크론병,14988,5923,20911
갑상선 기능 항진증,3642,13035,16677
공황장애,6343,10139,16482
녹내장,8234,7917,16151
가려움증,6688,8353,15041
고지혈증,8118,6780,14898
영양결핍,5863,8007,13870
지방간,10014,3113,13127
심장병,6984,6104,13088
비알코올성 지방간,9975,3109,13084
치질,7733,5027,12760
갑상선 기능 저하증,4549,8144,12693
이명,5416,7264,12680
맹장염(충수염),6402,4675,11077
대상포진,5296,4506,9802
신경인성 방광,5100,3215,8315
조현병,3997,3751,7748
부정맥,3854,3869,7723
백혈병,4487,3199,7686
다낭성 난소증후군,0,7633,7633
성매개감염병,1479,5708,7187
급성 백혈병,4074,2965,7039
고혈압,5556,1194,6750
건선,3452,2984,6436
반월상 연골판 손상,4524,1424,5948
기흉,5018,521,5539
자궁부속기종양,69,5225,5294
신우신염,1873,3249,5122
불면증,2302,2778,5080
추간판탈출증_목 디스크 ,2581,2371,4952
미주신경성 실신,1573,3063,4636
뇌혈관질환,2043,2287,4330
외상후 스트레스장애,1515,2546,4061
요로결석증,2089,1313,3402
테니스 엘보,1889,1258,3147
아나필락시스(과민성 쇼크),2017,1062,3079
수족구병,1612,1434,3046
요실금 ,1730,1268,2998
통풍,2551,256,2807
루푸스,579,2225,2804
뇌종양_악성,1594,1084,2678
수면무호흡증,1859,642,2501
기면증,1164,1301,2465
심혈관질환,1538,920,2458
하지의 정맥류,1026,1385,2411
육종,1309,1052,2361
[한방]관절병증,1327,1025,2352
비만,1449,756,2205
혈우병,1959,132,2091
야뇨증 ,1182,805,1987
식중독 및 감염병 관련 질환,1100,860,1960
[한방]퇴행성 관절증,1123,835,1958
수막뇌염,1023,917,1940
B형간염,1138,761,1899
거식증,96,1772,1868
"구개, 구순열",1022,762,1784
뇌종양_양성,702,940,1642
췌장염,853,742,1595
[한방]추간판탈출증_허리 디스크 ,918,619,1537
갑상선암,386,1079,1465
의약품중독,292,1155,1447
백내장,836,592,1428
류마티스관절염,598,829,1427
한랭질환 ,674,699,1373
안면마비 ,717,653,1370
뇌졸중,716,636,1352
척추관 협착증 ,812,503,1315
오십견,823,406,1229
탈장,909,274,1183
[한방]안면마비 ,609,525,1134
인격장애,678,454,1132
옴(Scabies),578,382,960
패혈증,532,413,945
폭식증,71,847,918
알코올중독증,426,361,787
분노조절장애,614,154,768
손목터널증후군,312,445,757
감염성 관절병증,432,307,739
난소암,0,738,738
만성폐쇄성폐질환(COPD),445,289,734
온열질환(폭염) ,434,288,722
허혈성 심질환,444,236,680
결핵,376,281,657
피부전구암,323,283,606
담낭담석,242,335,577
호흡기 결핵,309,254,563
동상,299,227,526
협심증 ,275,176,451
만성 백혈병,297,153,450
소화기암 ,225,205,430
영양실조,189,232,421
[한방]추간판탈출증_목 디스크 ,194,192,386
[한방]위식도 역류질환,186,198,384
[한방]오십견,241,143,384
[한방]염증성 다발관절병증,174,164,338
황반변성,195,142,337
유산,0,312,312
신장암,171,134,305
도박중독,286,7,293
골다공증,168,120,288
구강암,130,144,274
피부암,135,132,267
욕창,149,101,250
자궁근종,0,230,230
건강염려증,165,61,226
벌 쏘임,149,74,223
심정지 ,127,93,220
심부전,130,84,214
간암,101,109,210
파킨슨증,157,50,207
알코올성 간질환,146,39,185
췌장암,28,138,166
불임,32,129,161
미숙아,87,72,159
전립선증식증,154,0,154
진통 및 분만의 합병증,0,143,143
담도담석,57,82,139
대장암,84,49,133
복합부위통증증후군,84,47,131
C형간염,84,46,130
고환암,124,0,124
간경변증,69,48,117
대퇴경부골절,73,39,112
자궁암,0,102,102
고위험산모_조기진통,0,85,85
머릿니 감염증,12,56,68
[한방]감염성 관절병증,33,28,61
A형간염,36,19,55
자궁경부암,0,54,54
[한방]뇌졸중,25,26,51
흉부대동맥류,34,13,47
자궁내막암(자궁체부암),0,47,47
유방암,1,36,37
고위험산모_임신성 당뇨병,0,36,36
뱀 물림,26,6,32
폐암,17,15,32
흡연(니코틴중독),14,7,21
심근경색증,14,7,21
당뇨병성족부궤양,10,10,20
위암,9,10,19
실명,10,8,18
치매,13,5,18
진행정도 상세불명 위암,8,10,18
방광암,4,9,13
고위험산모_선천성 태아기형 ,0,9,9
전립선암,8,0,8
고위험산모_자궁경관무력증,0,8,8
조산,0,7,7
"고위험산모_임신중독증(고혈압, 단백뇨, 부종) ",0,6,6
고위험산모_다태아임신,0,6,6
진행형위암,3,1,4
고위험산모_저체중아 산모,0,4,4
고위험산모_전치태반,0,3,3
고위험산모_자궁기형,0,1,1
조기위암,0,0,0
식도암,0,0,0
산후우울증,0,0,0
후두암,0,0,0
