항목,남,여,총
호흡계통의 질환,7847922,7314706,15162628
감기,3311703,3164638,6476341
알레르기질환,2098990,1866958,3965948
비염,2050713,1882393,3933106
환경성질환,1708009,1504977,3212986
치아우식증,691266,700818,1392084
중이염,735409,648504,1383913
장염,659093,569450,1228543
손상,543989,398887,942876
시력저하 ,323161,332403,655564
폐렴,309806,275525,585331
후두염,276924,241012,517936
인플루엔자,232184,214411,446595
만성질환 ,304191,130632,434823
접촉피부염,206143,199292,405435
알레르기성결막염,225621,174151,399772
치주질환 및 치은염,177349,166461,343810
정신 및 행동장애,253778,84338,338116
환경성질환_천식,165810,128511,294321
근시,141350,147857,289207
환경성질환_아토피성 피부염 ,149183,134028,283211
성조숙증,26011,252234,278245
수족구병,130109,116977,247086
선천성이상아,128705,104439,233144
ADHD(주의력결핍 과잉행동장애),136422,31570,167992
골절,84378,56093,140471
사시,54869,64451,119320
발목염좌긴장,58815,56926,115741
각막염,59572,52800,112372
VDT(영상단말기)증후군,55035,50138,105173
안구건조증,29409,29440,58849
척추질환,28818,24515,53333
미숙아,25858,22664,48522
화상,24776,22168,46944
빈혈,19437,16064,35501
가려움증,16455,16867,33322
뇌전증,15914,13614,29528
근막통증증후군,15200,13250,28450
자폐증,20755,5164,25919
순환계통의 질환,13109,11205,24314
망막(맥락막·유리체) 질환,12616,11639,24255
틱장애,17930,5515,23445
방광염,8314,14498,22812
위식도 역류질환,11264,9503,20767
거북목(일자목)증후군,10547,7541,18088
신우신염,10503,6350,16853
난청,8915,7097,16012
갑상선 기능 저하증,7695,8089,15784
백반증,7521,7624,15145
관절병증,5840,6214,12054
대사증후군,5051,5103,10154
티눈,5224,4645,9869
탈장,5920,3034,8954
[한방]발목염좌긴장,4636,4072,8708
신경인성 방광,4815,2994,7809
질염,3,7805,7808
불안장애,4484,3198,7682
탈모,2896,4649,7545
요실금 ,4432,2853,7285
퇴행성 관절증,3424,3835,7259
영양결핍,3548,3672,7220
심장병,3499,3250,6749
야뇨증 ,3392,3259,6651
우울증,3828,1858,5686
경추질환,3257,2380,5637
백혈병,3312,2289,5601
급성 백혈병,3182,2187,5369
"구개, 구순열",2747,2423,5170
패혈증,2434,2027,4461
염증성 다발관절병증,2211,2205,4416
[한방]거북목(일자목)증후군,2647,1685,4332
녹내장,2228,1923,4151
[한방]척추질환,2365,1387,3752
맹장염(충수염),2030,1333,3363
대상포진,1666,1575,3241
부정맥,1604,1493,3097
당뇨병,1340,1553,2893
뇌혈관질환,1547,1307,2854
고지혈증,1193,1420,2613
아나필락시스(과민성 쇼크),1730,856,2586
[한방]경추질환,1479,783,2262
치질,1233,954,2187
수막뇌염,1144,1040,2184
[한방]근막통증증후군,1182,923,2105
강박증,1165,825,1990
건선,891,912,1803
뇌졸중,1038,747,1785
식중독 및 감염병 관련 질환,887,781,1668
갑상선 기능 항진증,338,1237,1575
뇌종양_악성,753,714,1467
심혈관질환,782,667,1449
혈우병,1408,28,1436
백내장,683,673,1356
궤양성 대장염 및 크론병,809,530,1339
조울증,1024,191,1215
이명,562,594,1156
만성폐쇄성폐질환(COPD),739,414,1153
지방간,699,397,1096
비알코올성 지방간,698,397,1095
비만,603,456,1059
수면무호흡증,657,283,940
옴(Scabies),545,363,908
육종,406,459,865
요로결석증,447,284,731
췌장염,356,340,696
의약품중독,346,325,671
안면마비 ,335,323,658
뇌종양_양성,201,387,588
온열질환(폭염) ,331,243,574
피부전구암,319,234,553
B형간염,229,240,469
감염성 관절병증,235,211,446
외상후 스트레스장애,215,216,431
간암,280,151,431
한랭질환 ,212,214,426
자궁부속기종양,68,344,412
신장암,209,192,401
고혈압,198,164,362
영양실조,179,171,350
[한방]안면마비 ,163,162,325
불면증,191,112,303
성매개감염병,127,146,273
머릿니 감염증,39,203,242
허혈성 심질환,158,75,233
심정지 ,134,87,221
동상,104,109,213
테니스 엘보,91,105,196
벌 쏘임,129,64,193
루푸스,43,148,191
추간판탈출증(디스크) ,93,88,181
미주신경성 실신,64,115,179
욕창,76,80,156
담낭담석,73,68,141
[한방]관절병증,82,56,138
공황장애,79,48,127
하지의 정맥류,71,53,124
반월상 연골판 손상,80,41,121
기흉,76,25,101
류마티스관절염,43,55,98
심부전,47,45,92
추간판탈출증_허리 디스크 ,50,41,91
추간판탈출증_목 디스크 ,43,47,90
[한방]퇴행성 관절증,51,33,84
고환암,78,0,78
만성 백혈병,28,44,72
황반변성,31,40,71
조현병,57,13,70
난소암,0,68,68
피부암,33,35,68
분노조절장애,46,21,67
거식증,29,30,59
결핵,30,22,52
오십견,22,29,51
간경변증,28,23,51
췌장암,25,19,44
[한방]위식도 역류질환,19,24,43
[한방]염증성 다발관절병증,25,18,43
파킨슨증,23,17,40
소화기암 ,22,14,36
다낭성 난소증후군,0,34,34
구강암,21,13,34
척추관 협착증 ,16,16,32
담도담석,9,21,30
골다공증,17,13,30
폭식증,18,12,30
통풍,16,11,27
갑상선암,5,18,23
대퇴경부골절,13,10,23
협심증 ,7,10,17
C형간염,9,8,17
기면증,4,11,15
흉부대동맥류,7,7,14
실명,9,4,13
폐암,6,7,13
인격장애,9,2,11
방광암,4,7,11
흡연(니코틴중독),5,6,11
[한방]추간판탈출증_목 디스크 ,10,1,11
전립선증식증,11,0,11
[한방]추간판탈출증_허리 디스크 ,6,4,10
뱀 물림,10,0,10
호흡기 결핵,5,5,10
치매,9,1,10
[한방]오십견,6,1,7
전립선암,6,0,6
알코올중독증,2,4,6
건강염려증,2,4,6
손목터널증후군,6,0,6
복합부위통증증후군,5,1,6
A형간염,2,3,5
[한방]뇌졸중,5,0,5
[한방]감염성 관절병증,0,5,5
진통 및 분만의 합병증,0,5,5
알코올성 간질환,2,1,3
대장암,1,1,2
불임,0,2,2
"고위험산모_임신중독증(고혈압, 단백뇨, 부종) ",0,1,1
후두암,0,0,0
식도암,0,0,0
고위험산모_다태아임신,0,0,0
자궁내막암(자궁체부암),0,0,0
심근경색증,0,0,0
산후우울증,0,0,0
도박중독,0,0,0
당뇨병성족부궤양,0,0,0
위암,0,0,0
유방암,0,0,0
유산,0,0,0
자궁경부암,0,0,0
자궁근종,0,0,0
자궁암,0,0,0
고위험산모_선천성 태아기형 ,0,0,0
조기위암,0,0,0
고위험산모_조기진통,0,0,0
고위험산모_전치태반,0,0,0
진행정도 상세불명 위암,0,0,0
진행형위암,0,0,0
고위험산모_저체중아 산모,0,0,0
고위험산모_자궁기형,0,0,0
고위험산모_자궁경관무력증,0,0,0
고위험산모_임신성 당뇨병,0,0,0
조산,0,0,0
