항목,남,여,총
만성질환 ,12202554,11251253,23453807
대사증후군,9667321,6582767,16250088
호흡계통의 질환,5192315,7385647,12577962
순환계통의 질환,6305255,4153598,10458853
고혈압,5428574,3522300,8950874
치주질환 및 치은염,4014143,3749014,7763157
감기,2131751,3119487,5251238
척추질환,2181508,2592350,4773858
알레르기질환,1866113,2795062,4661175
손상,2279218,2372434,4651652
당뇨병,2743390,1470922,4214312
정신 및 행동장애,1317441,1991566,3309007
VDT(영상단말기)증후군,992895,1690479,2683374
비염,1057669,1455378,2513047
고지혈증,1038939,1391524,2430463
관절병증,763762,1431544,2195306
환경성질환,872236,1221083,2093319
접촉피부염,697597,1065531,1763128
위식도 역류질환,715060,992744,1707804
[한방]척추질환,757207,894417,1651624
퇴행성 관절증,533460,1019193,1552653
추간판탈출증(디스크) ,711471,768992,1480463
경추질환,576856,779411,1356267
치아우식증,562902,632666,1195568
거북목(일자목)증후군,429261,646051,1075312
염증성 다발관절병증,590222,423590,1013812
우울증,318701,676935,995636
추간판탈출증_허리 디스크 ,458771,483367,942138
골절,439675,476310,915985
불안장애,377289,511743,889032
후두염,329446,522837,852283
장염,361243,473071,834314
안구건조증,245549,567246,812795
망막(맥락막·유리체) 질환,358242,407796,766038
근막통증증후군,313075,437038,750113
[한방]거북목(일자목)증후군,300443,432785,733228
심장병,516071,212320,728391
질염,2698,603590,606288
방광염,20283,572948,593231
전립선증식증,587797,0,587797
갑상선 기능 저하증,73655,502102,575757
테니스 엘보,286290,284025,570315
추간판탈출증_목 디스크 ,261247,297329,558576
[한방]근막통증증후군,220584,323139,543723
각막염,190171,347614,537785
불면증,192422,342034,534456
녹내장,257117,256797,513914
심혈관질환,380104,112296,492400
유방암,656,484576,485232
뇌혈관질환,276180,205507,481687
시력저하 ,188051,292966,481017
B형간염,280382,183196,463578
오십견,188008,269875,457883
[한방]경추질환,187704,269056,456760
알레르기성결막염,144933,308373,453306
통풍,411928,13684,425612
척추관 협착증 ,190651,225932,416583
허혈성 심질환,325703,83235,408938
자궁근종,0,402275,402275
공황장애,178041,204160,382201
골다공증,15819,326629,342448
갑상선암,66093,246853,312946
환경성질환_천식,125878,173700,299578
백내장,122849,172231,295080
조현병,131894,153558,285452
빈혈,51807,226957,278764
중이염,112901,151562,264463
갑상선 기능 항진증,88054,176195,264249
뇌졸중,177440,85849,263289
발목염좌긴장,103481,149877,253358
협심증 ,179266,62034,241300
대상포진,89706,149030,238736
소화기암 ,138191,96665,234856
류마티스관절염,43805,180877,224682
치질,114975,108078,223053
[한방]발목염좌긴장,84700,123355,208055
신경인성 방광,93067,111905,204972
환경성질환_아토피성 피부염 ,77290,122400,199690
하지의 정맥류,46493,143055,189548
지방간,107195,75339,182534
부정맥,107432,71937,179369
난청,80362,97805,178167
탈모,94683,79912,174595
근시,65862,103677,169539
비알코올성 지방간,95819,73495,169314
조울증,61709,101501,163210
인플루엔자,71896,90502,162398
화상,50820,109355,160175
요로결석증,101527,44888,146415
성매개감염병,48553,94490,143043
영양결핍,30775,108271,139046
건선,83416,47344,130760
폐렴,51898,78162,130060
이명,54101,64766,118867
대장암,65567,51382,116949
수면무호흡증,96178,14944,111122
티눈,48959,59026,107985
자궁부속기종양,686,104739,105425
불임,28685,75078,103763
가려움증,37259,64127,101386
황반변성,44698,54733,99431
뇌전증,51067,43091,94158
자궁암,0,93889,93889
손목터널증후군,19101,73152,92253
간경변증,59065,28903,87968
[한방]관절병증,26959,57876,84835
반월상 연골판 손상,37019,47677,84696
위암,50820,33568,84388
담낭담석,36699,45350,82049
궤양성 대장염 및 크론병,50864,30210,81074
