항목,남,여,총,비율(%)
만성질환 ,12202554,11251253,23453807,14.443224834944585
대사증후군,9667321,6582767,16250088,10.007060882339273
호흡계통의 질환,5192315,7385647,12577962,7.745707685382985
순환계통의 질환,6305255,4153598,10458853,6.440726889013569
고혈압,5428574,3522300,8950874,5.512089600262328
치주질환 및 치은염,4014143,3749014,7763157,4.780674710079003
감기,2131751,3119487,5251238,3.233795310748687
척추질환,2181508,2592350,4773858,2.9398171658911876
알레르기질환,1866113,2795062,4661175,2.8704251945120394
손상,2279218,2372434,4651652,2.864560780683479
당뇨병,2743390,1470922,4214312,2.5952399003114928
정신 및 행동장애,1317441,1991566,3309007,2.037738780804561
VDT(영상단말기)증후군,992895,1690479,2683374,1.6524640966920463
비염,1057669,1455378,2513047,1.5475740395485895
고지혈증,1038939,1391524,2430463,1.496717507823524
관절병증,763762,1431544,2195306,1.3519041126032485
환경성질환,872236,1221083,2093319,1.289098906981769
접촉피부염,697597,1065531,1763128,1.0857620733719766
위식도 역류질환,715060,992744,1707804,1.05169268025518
[한방]척추질환,757207,894417,1651624,1.0170961488167152
퇴행성 관절증,533460,1019193,1552653,0.9561482436370016
추간판탈출증(디스크) ,711471,768992,1480463,0.9116925012991096
경추질환,576856,779411,1356267,0.835210642656682
치아우식증,562902,632666,1195568,0.7362496600004012
거북목(일자목)증후군,429261,646051,1075312,0.6621941155955591
염증성 다발관절병증,590222,423590,1013812,0.6243214441205575
우울증,318701,676935,995636,0.6131283762062546
추간판탈출증_허리 디스크 ,458771,483367,942138,0.5801834627335776
골절,439675,476310,915985,0.5640780322118587
불안장애,377289,511743,889032,0.5474799490530665
후두염,329446,522837,852283,0.5248493343533132
장염,361243,473071,834314,0.513783740308853
안구건조증,245549,567246,812795,0.5005320001873804
망막(맥락막·유리체) 질환,358242,407796,766038,0.4717383009978414
근막통증증후군,313075,437038,750113,0.4619314344411032
[한방]거북목(일자목)증후군,300443,432785,733228,0.4515333847198772
심장병,516071,212320,728391,0.44855468371297347
질염,2698,603590,606288,0.3733617275322886
방광염,20283,572948,593231,0.36532102067945776
전립선증식증,587797,0,587797,0.36197467764213814
갑상선 기능 저하증,73655,502102,575757,0.3545602554541866
테니스 엘보,286290,284025,570315,0.3512089858904962
추간판탈출증_목 디스크 ,261247,297329,558576,0.34397992425724344
[한방]근막통증증후군,220584,323139,543723,0.3348332122341834
각막염,190171,347614,537785,0.3311764980355076
불면증,192422,342034,534456,0.32912644724948675
녹내장,257117,256797,513914,0.3164763591610399
심혈관질환,380104,112296,492400,0.3032276981185491
유방암,656,484576,485232,0.2988135304903733
뇌혈관질환,276180,205507,481687,0.29663046349234273
시력저하 ,188051,292966,481017,0.2962178669087939
B형간염,280382,183196,463578,0.2854786552363947
오십견,188008,269875,457883,0.28197158427623
[한방]경추질환,187704,269056,456760,0.28128002313693845
알레르기성결막염,144933,308373,453306,0.27915299537637495
통풍,411928,13684,425612,0.26209859271249375
척추관 협착증 ,190651,225932,416583,0.25653839188732647
허혈성 심질환,325703,83235,408938,0.25183048012429576
자궁근종,0,402275,402275,0.2477272994732724
공황장애,178041,204160,382201,0.2353654131775134
골다공증,15819,326629,342448,0.21088488782555018
갑상선암,66093,246853,312946,0.19271709020188357
환경성질환_천식,125878,173700,299578,0.18448486463639055
백내장,122849,172231,295080,0.18171492518444654
조현병,131894,153558,285452,0.17578585069727068
빈혈,51807,226957,278764,0.1716672746513388
중이염,112901,151562,264463,0.16286049294785915
갑상선 기능 항진증,88054,176195,264249,0.1627287083674421
뇌졸중,177440,85849,263289,0.16213752520295427
발목염좌긴장,103481,149877,253358,0.15602185852948694
협심증 ,179266,62034,241300,0.14859635165720128
대상포진,89706,149030,238736,0.14701739995538168
소화기암 ,138191,96665,234856,0.14462803466557672
류마티스관절염,43805,180877,224682,0.1383627247535984
치질,114975,108078,223053,0.1373595608213581
[한방]발목염좌긴장,84700,123355,208055,0.12812355550782847
