행정기관,날짜,성별,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
서울특별시 종로구 ,2023년03월,남,3118,5024,10444,9639,9545,11984,10289,5158,2665,293,11
서울특별시 중구 ,2023년03월,남,2985,3148,8195,10062,8566,9733,9055,4673,2048,227,7
서울특별시 용산구 ,2023년03월,남,5950,7175,14546,18848,15898,17258,14341,6802,3417,396,9
서울특별시 동대문구 ,2023년03월,남,9326,11663,27152,24988,24859,26149,23368,12463,5518,436,11
서울특별시 중랑구 ,2023년03월,남,10220,12630,24911,29564,28382,32284,30261,14765,5751,409,9
서울특별시 성북구 ,2023년03월,남,12961,18367,31137,28594,32001,34833,27073,14423,6677,557,11
서울특별시 도봉구 ,2023년03월,남,7870,11979,19427,19604,21928,26135,24694,13021,5648,488,12
서울특별시 노원구 ,2023년03월,남,14259,25391,34444,30683,37044,41547,33631,16924,6910,683,16
서울특별시 은평구 ,2023년03월,남,12903,18477,29331,32110,35107,36940,31335,16797,7754,583,13
서울특별시 서대문구 ,2023년03월,남,9354,11399,22968,22077,22245,23756,19380,10001,5093,447,12
서울특별시 마포구 ,2023년03월,남,10988,13731,26552,29840,28118,27057,19682,9813,4937,483,14
서울특별시 양천구 ,2023년03월,남,13652,25133,27268,26682,35306,37152,29624,14637,4815,424,10
서울특별시 구로구 ,2023년03월,남,12255,14553,25310,31455,30531,30568,27581,15597,5771,411,7
서울특별시 영등포구 ,2023년03월,남,11870,12168,26456,35457,28269,28206,23879,12690,5471,494,13
서울특별시 동작구 ,2023년03월,남,10705,13662,31122,30143,27854,27674,23299,13108,5826,492,15
서울특별시 관악구 ,2023년03월,남,9113,13465,53841,48745,33871,33776,28357,16709,7054,434,11
서울특별시 서초구 ,2023년03월,남,14678,22645,23914,26070,33762,31505,22136,12847,5093,499,9
서울특별시 강남구 ,2023년03월,남,16749,31566,32118,35486,44516,41845,28414,17181,6331,589,16
서울특별시 송파구 ,2023년03월,남,23467,29661,40875,50203,52058,49039,41890,21722,7012,623,14
서울특별시 강동구 ,2023년03월,남,16654,20673,27799,34107,37346,34676,31920,16347,5150,403,16
부산광역시 중구 ,2023년03월,남,528,892,2709,2293,2548,3372,3737,2162,849,82,0
부산광역시 서구 ,2023년03월,남,2698,3623,5993,5360,7137,8587,9169,5466,2295,167,8
부산광역시 동구 ,2023년03월,남,1925,2376,4689,5389,6027,7171,7572,4657,1932,145,6
부산광역시 부산진구 ,2023년03월,남,10043,12188,23865,24984,25397,27246,27384,14604,5688,410,5
부산광역시 동래구 ,2023년03월,남,9826,13263,15190,16195,21428,21170,19763,11096,3942,269,4
부산광역시 남구 ,2023년03월,남,7571,11496,17435,13721,19355,20453,18980,11292,4474,289,5
부산광역시 북구 ,2023년03월,남,8720,11277,17086,17418,19141,23469,24742,10943,3659,213,2
부산광역시 해운대구 ,2023년03월,남,12576,18637,22064,20768,29100,32145,28858,14544,5428,423,12
부산광역시 사하구 ,2023년03월,남,8663,12375,19125,17930,22418,25400,26173,13287,4287,292,3
부산광역시 금정구 ,2023년03월,남,5405,8491,16026,11990,14698,17635,18569,10320,3982,294,5
부산광역시 강서구 ,2023년03월,남,9379,7313,6460,12383,15543,9010,8861,3920,1117,91,2
부산광역시 연제구 ,2023년03월,남,6419,8182,11507,12692,15105,15569,15509,8694,3455,194,4
부산광역시 사상구 ,2023년03월,남,5076,7262,13639,12798,14343,18227,19656,8643,2525,140,2
부산광역시 기장군 ,2023년03월,남,8541,9696,8885,11526,17047,13401,11006,6262,2214,177,3
대구광역시 중구 ,2023년03월,남,3022,2918,5732,6585,6013,5958,4922,2958,1437,145,1
대구광역시 동구 ,2023년03월,남,11318,13598,19927,22669,25706,27427,25343,14071,5730,419,6
대구광역시 서구 ,2023년03월,남,3186,4794,9430,9289,10702,15290,15266,7742,2998,158,2
대구광역시 북구 ,2023년03월,남,14455,21003,31491,26759,32543,38391,29352,13019,5314,357,3
대구광역시 수성구 ,2023년03월,남,13738,25114,26065,20407,30663,35710,26432,13242,5955,565,5
대구광역시 달서구 ,2023년03월,남,17447,26545,36752,32876,39818,47728,38951,16757,6193,465,5
대구광역시 달성군 ,2023년03월,남,13386,13344,14669,20171,23699,20634,17164,7456,2487,216,4
인천광역시 중구 ,2023년03월,남,6242,7238,9953,12924,14622,12709,9487,4704,1715,153,7
인천광역시 동구 ,2023년03월,남,1612,2449,3263,3536,4893,5122,4939,2806,1167,88,3
인천광역시 서구 ,2023년03월,남,27272,31308,37287,46088,54358,50488,36900,13444,4386,399,15
인천광역시 강화군 ,2023년03월,남,1510,2335,2740,2648,3958,5892,8069,4914,2517,237,7
인천광역시 옹진군 ,2023년03월,남,376,589,1834,1144,1442,1971,2565,1242,484,61,2
광주광역시 동구 ,2023년03월,남,3899,3883,7585,7267,7666,7836,7229,4488,2353,208,2
광주광역시 서구 ,2023년03월,남,9453,15163,21544,17455,22169,24295,17470,8924,3587,311,3
광주광역시 북구 ,2023년03월,남,15314,21297,30215,27669,32951,35036,27705,13696,5483,443,5
대전광역시 동구 ,2023년03월,남,6755,9900,15486,13232,16789,18590,17005,8868,3654,311,7
대전광역시 중구 ,2023년03월,남,6514,10332,14474,12581,16964,19380,16908,9388,4185,386,11
대전광역시 서구 ,2023년03월,남,17168,24209,35661,32650,36207,37061,29205,12796,5019,436,8
대전광역시 대덕구 ,2023년03월,남,4913,7789,12264,10886,12754,16538,13781,5891,2318,186,1
울산광역시 중구 ,2023년03월,남,6950,10230,12644,12583,16215,19240,16969,7361,2348,151,1
울산광역시 남구 ,2023년03월,남,10847,15042,22382,22086,23876,29446,22951,8859,2534,147,0
울산광역시 동구 ,2023년03월,남,6094,8397,8772,10608,14388,12283,11995,5055,1123,60,1
울산광역시 울주군 ,2023년03월,남,7650,11148,13943,12875,17895,22490,18256,7354,2532,216,1
세종특별자치시  ,2023년03월,남,23171,24950,19488,29775,38555,27427,18127,7491,2947,275,6
경기도 수원시 ,2023년03월,남,44101,59236,93512,95512,99685,99178,69913,27344,10722,1009,27
경기도 성남시 ,2023년03월,남,31651,43159,61616,68684,73989,77139,61003,27572,11237,1108,38
경기도 의정부시 ,2023년03월,남,16031,20820,30843,30760,36285,39977,31598,14335,6251,515,12
경기도 안양시 ,2023년03월,남,18653,25580,36614,40464,41686,46094,38897,15940,5881,577,10
경기도 부천시 ,2023년03월,남,24535,33736,52881,55880,61200,68041,60825,23868,8046,744,30
경기도 광명시 ,2023년03월,남,10085,14776,17658,19381,23445,24153,19064,8389,2980,262,11
경기도 평택시 ,2023년03월,남,25037,28522,43672,50478,54368,50384,33550,13387,5927,511,13
경기도 동두천시 ,2023년03월,남,2606,4088,5460,4888,6626,8547,7322,3627,1873,164,4
경기도 안산시 ,2023년03월,남,19107,29847,52223,45577,50872,63362,45384,14608,5621,556,15
경기도 고양시 ,2023년03월,남,37292,51204,70322,71514,84045,96374,72026,27858,13974,1520,40
경기도 과천시 ,2023년03월,남,3838,3853,4937,5784,5915,6254,5028,2013,903,112,3
경기도 구리시 ,2023년03월,남,6501,8757,12293,12286,15299,16809,13616,5494,2197,186,5
경기도 남양주시 ,2023년03월,남,29783,40765,43242,43286,65167,63746,47187,22323,9031,742,26
경기도 오산시 ,2023년03월,남,9757,13053,16189,19566,23786,18507,11808,4739,1863,141,1
경기도 시흥시 ,2023년03월,남,22965,26495,35933,40954,50603,47533,31605,10073,3688,318,9
경기도 군포시 ,2023년03월,남,8587,12704,18114,19446,20169,22933,18834,7319,3133,360,10
경기도 의왕시 ,2023년03월,남,6027,7039,10850,11257,11685,13552,11958,4657,1752,182,3
경기도 하남시 ,2023년03월,남,16179,15509,18214,25843,31087,23897,19722,9506,2766,228,5
경기도 용인시 ,2023년03월,남,43800,61749,69970,67180,94912,90006,58150,30743,14711,1337,32
경기도 파주시 ,2023년03월,남,21398,26294,31633,36263,43597,42091,30103,13388,6431,613,21
경기도 안성시 ,2023년03월,남,6195,9022,12348,12094,15864,17050,14748,6951,3005,276,8
경기도 김포시 ,2023년03월,남,24765,26463,25562,33769,48185,36390,27952,13430,5046,451,16
경기도 화성시 ,2023년03월,남,49508,54716,59648,80034,95290,70841,44632,17393,6517,515,19
경기도 광주시 ,2023년03월,남,15869,17906,22762,27853,36190,34375,27929,12079,4198,292,15
경기도 양주시 ,2023년03월,남,10221,12916,15106,15878,21218,21992,17353,8242,3458,294,12
경기도 포천시 ,2023년03월,남,3694,5772,9596,7992,9883,15508,15644,6099,2704,268,10
경기도 여주시 ,2023년03월,남,3320,4862,6195,5898,8009,10525,10845,5387,2362,240,1
경기도 가평군 ,2023년03월,남,1441,2256,3380,2935,4017,5792,6914,3497,1617,154,6
경기도 양평군 ,2023년03월,남,3362,5170,5520,5402,8069,10784,13003,7096,2982,268,5
강원도 춘천시 ,2023년03월,남,10112,13618,19985,17729,20437,23497,21150,9536,4994,507,21
강원도 원주시 ,2023년03월,남,13476,17973,23100,23151,27892,30834,26289,10621,5031,469,11
강원도 강릉시 ,2023년03월,남,6197,9322,12869,10899,15431,18413,17591,9154,4161,373,9
강원도 동해시 ,2023년03월,남,2945,4375,5129,4528,7157,8203,7400,3795,1669,119,3
강원도 태백시 ,2023년03월,남,1042,1798,1777,1579,3002,3656,3833,2084,872,34,1
강원도 속초시 ,2023년03월,남,2722,3557,4770,4974,5930,7376,7011,3074,1351,115,5
강원도 삼척시 ,2023년03월,남,1693,2712,3774,2731,4396,5874,6165,3285,1447,143,0
강원도 홍천군 ,2023년03월,남,1693,2364,3570,3116,4061,6120,8147,3839,1763,169,3
강원도 횡성군 ,2023년03월,남,1030,1838,1913,1669,2590,4364,6056,2958,1385,100,1
강원도 영월군 ,2023년03월,남,768,1501,1623,1369,2232,3769,4713,2341,1086,91,3
강원도 평창군 ,2023년03월,남,738,1463,1817,1445,2586,4098,5195,2534,1121,82,1
강원도 정선군 ,2023년03월,남,698,1164,1442,1381,2526,3636,4287,2027,915,73,4
강원도 철원군 ,2023년03월,남,1440,1783,2994,2442,2691,3562,3870,1941,940,95,1
강원도 화천군 ,2023년03월,남,791,807,2013,1545,1328,1951,2340,1009,571,57,4
강원도 인제군 ,2023년03월,남,1205,1187,2684,2339,2172,2637,3232,1325,639,62,5
강원도 고성군 ,2023년03월,남,641,862,1607,1285,1642,2580,3017,1536,740,76,6
강원도 양양군 ,2023년03월,남,588,931,1270,1205,1866,2598,3155,1751,846,61,0
충청북도 청주시 ,2023년03월,남,33637,43693,62436,62519,69047,69179,55389,22921,9710,819,13
충청북도 충주시 ,2023년03월,남,6433,9394,12691,12377,15252,18580,18179,8146,4050,340,9
충청북도 제천시 ,2023년03월,남,3776,5998,8174,6324,8686,11784,12411,6088,2732,191,5
충청북도 보은군 ,2023년03월,남,618,1034,1236,1032,1666,2924,4015,2086,1123,127,1
충청북도 옥천군 ,2023년03월,남,1067,1959,2184,1733,3072,4528,5635,3096,1452,177,1
충청북도 영동군 ,2023년03월,남,900,1554,1955,1465,2531,4188,5315,2804,1536,135,2
충청북도 진천군 ,2023년03월,남,3554,4394,5189,6183,7764,7737,6391,2693,1340,113,5
충청북도 괴산군 ,2023년03월,남,594,919,1334,1195,1962,3708,5208,2672,1276,120,3
