요양기관명,진료과목코드명,시군구코드명,좌표(X),좌표(Y)
철원병원,내과,철원군,127.3079502,38.1504492
의료법인 성심의료재단 양구성심병원,내과,양구군,127.9912806,38.1045972
의료법인삼산의료재단 원주세인트병원,내과,원주시,127.9751912,37.3262143
인제고려병원,내과,인제군,128.1735808,38.0677805
의산의료재단 강릉고려병원,내과,강릉시,128.8998047,37.7590068
원주우리병원,내과,원주시,127.9434,37.373665
강원도 재활병원,내과,춘천시,127.7411391,37.9036442
국군춘천병원,내과,춘천시,127.7328308,37.9386827
현대중앙병원,내과,원주시,127.9383507,37.3688021
백두병원,내과,양구군,127.9967363,38.1225842
원주카톨릭병원,내과,원주시,127.941138,37.35399
춘천새윤요양병원,내과,춘천시,127.735663,37.84454
홍천아산병원,내과,홍천군,127.8949012,37.6913787
토마스요양병원,내과,춘천시,127.7548304,37.8466972
푸른사랑병원,내과,영월군,128.4650393,37.1833275
도경요양병원,내과,삼척시,129.035205,37.1796238
원주프라임병원,내과,원주시,127.9480045,37.3334933
강원대학교병원,내과,춘천시,127.744891,37.8751611
바른요양병원,내과,원주시,127.9908842,37.293156
의료법인 지산의료재단 현인요양병원,내과,인제군,128.3119116,37.9337217
국군홍천병원,내과,홍천군,127.9970272,37.8047491
영월실로노인전문병원,내과,영월군,128.5389944,37.1812962
국군강릉병원,내과,강릉시,128.8310611,37.8687639
해오름자연요양병원,내과,평창군,128.375904,37.619657
의료법인 연호요양병원,내과,홍천군,127.8140604,37.7324064
연세명인병원,내과,원주시,127.948827,37.3534761
선한이웃병원,내과,삼척시,129.1723135,37.4369274
암스트롱요양병원,내과,춘천시,127.5840304,37.8664814
속초정요양병원,내과,속초시,128.5877265,38.1899427
강릉아산병원,내과,강릉시,128.8578411,37.8184325
의료법인 성지의료재단 성지병원,내과,원주시,127.9541859,37.3454767
본베스트병원,내과,원주시,127.9301516,37.3348376
영인요양병원,내과,춘천시,127.7268652,37.8799974
영광병원,내과,원주시,127.9919165,37.3358882
센트럴병원,내과,원주시,127.9341673,37.3521872
원주효요양병원,내과,원주시,127.9461524,37.3537541
신창의료재단 원주에이치병원,내과,원주시,127.9517762,37.3837608
원주센텀병원,내과,원주시,127.9302031,37.3337964
원주불로병원,내과,원주시,127.9444614,37.3562516
연세메디하임병원,내과,원주시,127.8450875,37.3261
근로복지공단 태백병원,내과,태백시,129.0043366,37.1040964
강원도속초의료원,내과,속초시,128.5892485,38.2164607
속초보광병원,내과,속초시,128.5783901,38.1980014
문막요양병원,내과,원주시,127.8170021,37.3079128
춘천호반요양병원,내과,춘천시,127.7075734,37.8565902
신태백병원,내과,태백시,128.9901554,37.1611472
원주연세병원,내과,원주시,127.9437571,37.3568173
의료법인 청강의료재단 청강요양병원,내과,횡성군,128.1374386,37.3579999
동해요양병원,내과,동해시,129.1156782,37.520357
인성병원,내과,춘천시,127.7268737,37.8812798
홍천요양병원,내과,홍천군,128.0170179,37.8411864
춘천요양병원,내과,춘천시,127.764337,37.8981638
근로복지공단 동해병원,내과,동해시,129.106078,37.5321225
근로복지공단 정선병원,내과,정선군,128.6587349,37.3830727
원주민중요양병원,내과,원주시,127.9463472,37.3787072
강원도강릉의료원,내과,강릉시,128.8888317,37.7492828
재)정선의료재단 군립병원,내과,정선군,128.8261822,37.2257003
횡성대성병원,내과,횡성군,127.9797574,37.4782572
의료법인 양구우리병원,내과,양구군,127.9860829,38.1025665
원주성모병원,내과,원주시,127.9844989,37.3936695
미성의료재단 아름다운병원,내과,홍천군,127.8831925,37.6881194
강원도 삼척의료원,내과,삼척시,129.1638017,37.4403018
의료법인 동해동인병원,내과,동해시,129.1074625,37.5299417
강원도 영월의료원,내과,영월군,128.4652388,37.1864525
강원도 원주의료원,내과,원주시,127.949225,37.332608
의료법인 강릉동인병원,내과,강릉시,128.90735,37.77435
연세대학교 원주세브란스기독병원,내과,원주시,127.9456639,37.3490013
한림대학교부속 춘천성심병원,내과,춘천시,127.7399592,37.8840791
성심연합의원,내과,속초시,128.5920849,38.218951
오형균정형외과의원,내과,동해시,129.1021465,37.5414633
이승훈내과의원,내과,춘천시,127.7264336,37.8795873
김남원내과의원,내과,강릉시,128.8986261,37.7556996
조훈외과의원,내과,속초시,128.5792255,38.2003737
서외과의원,내과,동해시,129.1100562,37.4930433
연세남부내과의원,내과,원주시,127.9541742,37.3421732
이병호내과의원,내과,속초시,128.5832687,38.2015575
오은경소아청소년과의원,내과,원주시,127.9717075,37.3410021
김병호내과의원,내과,태백시,128.9906931,37.1741278
이성우내과의원,내과,원주시,127.9514049,37.3507961
봄내사랑의원,내과,춘천시,127.7254315,37.8894105
학교법인상지학원부설상지푸른의원,내과,원주시,127.9342834,37.3704256
이재홍정형외과의원,내과,강릉시,128.899993,37.7614816
김대균의원,내과,원주시,127.9549948,37.3208954
함경종정형외과의원,내과,원주시,127.9515139,37.3506768
임정근내과의원,내과,춘천시,127.752742,37.8764293
서울아산의원,내과,속초시,128.5857959,38.2013459
후평성심의원,내과,춘천시,127.7461598,37.8810336
김석주의원,내과,화천군,127.7067905,38.1043153
철원중앙의원,내과,철원군,127.3091852,38.1454173
김수일신경외과의원,내과,태백시,128.9921718,37.1667415
신준호의원,내과,삼척시,129.1643332,37.4416017
김홍근의원,내과,강릉시,128.826038,37.889924
김태영내과의원,내과,속초시,128.5724665,38.1988717
심명규의원,내과,횡성군,127.9854385,37.4889062
푸른솔의원,내과,원주시,127.9309947,37.3475681
한국한센복지협회강원도지부부설복지의원,내과,원주시,127.9464921,37.3523412
경선산부인과의원,내과,강릉시,128.898495,37.7574081
이재순내과의원,내과,원주시,127.9483615,37.3498077
횡성정형외과의원,내과,횡성군,127.986448,37.4917101
심내과의원,내과,동해시,129.1106683,37.5238378
오킴스의원,내과,원주시,127.9490967,37.3362969
상명내과의원,내과,양양군,128.6221303,38.0756669
예수강릉메디컬의원,내과,강릉시,128.8942075,37.7538462
안정효내과의원,내과,춘천시,127.7392748,37.8571163
권혁준내과의원,내과,원주시,127.9289354,37.3440918
횡계의원,내과,평창군,128.7079749,37.6717356
동락가정의학과의원,내과,춘천시,127.7348892,37.8767557
유주왕외과의원,내과,강릉시,128.826513,37.885774
키즈메디소아청소년과의원,내과,홍천군,127.8816456,37.6880778
강남영내과의원,내과,원주시,127.9601955,37.3415848
민영의원,내과,원주시,127.9471958,37.384214
탁내과의원,내과,동해시,129.1128123,37.5232812
에스엠 가정의학과의원,내과,강릉시,128.8266073,37.8927219
자혜의원,내과,태백시,128.98824,37.1756727
미즈산부인과의원,내과,원주시,127.9322618,37.343555
(의)아나의료재단 강릉아나병원,내과,강릉시,128.9029668,37.7604484
이종화외과의원,내과,강릉시,128.888733,37.7575434
송춘익내과의원,내과,속초시,128.5798789,38.1992391
춘천예현병원,내과,춘천시,127.6173423,37.8513108
국립춘천병원,내과,춘천시,,
내안에병원,내과,원주시,127.9489161,37.3341896
진의원,내과,태백시,128.992152,37.1675896
강원도청부속의원,내과,춘천시,127.72975,37.885399
도계광업소의원,내과,삼척시,129.0435717,37.2318616
송광선내과의원,내과,원주시,127.8172063,37.3081029
복십자의원,내과,춘천시,127.7294291,37.8837766
창촌의원,내과,홍천군,128.3852231,37.7629063
인구보건복지협회강원지회가족보건의원,내과,춘천시,127.7345608,37.8515894
한세의원,내과,춘천시,127.734247,37.8740709
이광훈내과의원,내과,원주시,127.9498072,37.3486308
갈바리의원,내과,강릉시,128.8887683,37.7556321
솔올이비인후과의원,내과,강릉시,128.8775335,37.7649268
이일남내과의원,내과,속초시,128.601484,38.1869352
이승재내과의원,내과,동해시,129.1157084,37.5175295
김남동내과의원,내과,강릉시,128.8975948,37.7578506
김호준외과의원,내과,춘천시,127.7261025,37.8770396
손경수내과의원,내과,원주시,127.9540904,37.342086
연세민내과의원,내과,원주시,127.9517657,37.3488831
청십자내과의원,내과,삼척시,129.1637643,37.4432875
진부연세내과의원,내과,평창군,128.5597803,37.6382829
