요양기관명,진료과목코드명,시군구코드명,좌표(X),좌표(Y)
진주고려병원,내과,진주시,128.0920865,35.1784916
양산부산대학교병원,내과,양산시,129.0057274,35.3281501
의료법인환명의료재단 조은금강병원,내과,김해시,128.8615328,35.2623214
창원한마음병원,내과,창원의창구,128.6990592,35.2379797
연세에스병원,내과,창원진해구,128.6981494,35.1549332
의료법인청아의료재단청아병원,내과,창원마산회원구,128.50965,35.248035
의료법인합포의료재단에스엠지연세병원,내과,창원마산합포구,128.5616013,35.1863148
의료법인석영의료재단창원제일종합병원,내과,창원마산합포구,128.5676,35.199085
베데스다복음병원,내과,양산시,129.0435924,35.3532447
의료법인 대우의료재단대우병원,내과,거제시,128.7216517,34.8712995
경상남도마산의료원,내과,창원마산합포구,128.5655967,35.1992371
경상국립대학교병원,내과,진주시,128.0956717,35.1763252
의료법인 거붕 백병원,내과,거제시,128.6261659,34.8736095
재단법인대구포교성베네딕도수녀회창원파티마병원,내과,창원의창구,128.645913,35.237293
근로복지공단 창원병원,내과,창원성산구,128.6717512,35.2187539
학교법인성균관대학삼성창원병원,내과,창원마산회원구,128.5920245,35.2428774
통영적십자병원,내과,통영시,128.4198871,34.8423835
진주세란병원,내과,진주시,128.0929554,35.1744787
국립마산병원,내과,창원마산합포구,128.5663469,35.1688619
의료법인 진주의료재단 진주정신병원,내과,진주시,128.1767465,35.1527151
의료법인환명의료재단금강병원,내과,김해시,128.883062,35.2283809
의료법인 진주의료재단 새진주정신병원,내과,진주시,128.1737761,35.153151
의료법인 성념의료재단맑은샘병원,내과,거제시,128.6436423,34.8977185
아람병원,내과,양산시,129.1467101,35.369577
서울패밀리병원,내과,창원성산구,128.6808909,35.2208386
제일병원,내과,진주시,128.0902544,35.1794723
제일병원,내과,진주시,128.0902544,35.1794723
김해사랑병원,내과,김해시,128.8585459,35.2379922
반도병원,내과,진주시,128.0882554,35.1918013
창원경상국립대학교병원,내과,창원성산구,128.7078463,35.1990873
새통영병원,내과,통영시,128.4207171,34.8653483
거창적십자병원,내과,거창군,127.9087378,35.6867599
의료법인청아의료재단동서병원,내과,창원마산회원구,128.5212256,35.2571337
웅상중앙병원,내과,양산시,129.1645494,35.4063964
양산병원,내과,양산시,129.14755,35.4007904
홍익재활병원,내과,창원성산구,128.625025,35.196735
윤병원,내과,창원의창구,128.6205885,35.2619779
