요양기관명,진료과목코드명,시군구코드명,좌표(X),좌표(Y)
포항시남구오천읍보건지소,내과,포항남구,129.4146597,35.9631672
영주시봉현면보건지소,내과,영주시,128.525013,36.861424
석보보건지소,내과,영양군,129.1262906,36.5599201
수비보건지소,내과,영양군,129.2001718,36.76623
울릉군보건의료원,내과,울릉군,130.8995244,37.4858676
기산면보건지소,내과,칠곡군,128.382786,35.9863749
영천시화남면보건지소,내과,영천시,128.8888804,36.0586803
화남면보건지소,내과,상주시,127.9060247,36.447698
경주시감포보건지소,내과,경주시,129.5012868,35.8071553
영천시금호읍보건지소,내과,영천시,128.8788864,35.9344251
영천시자양면보건지소,내과,영천시,129.0183414,36.0784287
함창읍보건지소,내과,상주시,128.1787337,36.5690973
청송군보건의료원,내과,청송군,129.0523021,36.4317359
영천시신녕면보건지소,내과,영천시,128.7897786,36.0453276
영천시임고면보건지소,내과,영천시,128.973938,36.021092
석적읍보건지소,내과,칠곡군,128.4135658,36.0743097
입암보건지소,내과,영양군,129.0903638,36.5941833
화동면보건지소,내과,상주시,127.9548754,36.3875883
사벌면보건지소,내과,상주시,128.2069075,36.4651045
공성면보건지소,내과,상주시,128.0900359,36.2821286
화서면보건지소,내과,상주시,127.9514803,36.443789
외서면보건지소,내과,상주시,128.106301,36.4785914
이안면보건지소,내과,상주시,128.1455,36.579433
약목면보건지소,내과,칠곡군,128.3642341,36.0322583
외남면보건지소,내과,상주시,128.0889347,36.356729
모서면보건지소,내과,상주시,127.9621482,36.3414917
청리면보건지소,내과,상주시,128.1318835,36.3398196
일월보건지소,내과,영양군,129.1271881,36.7022073
모동면보건지소,내과,상주시,127.9609478,36.3199867
청기보건지소,내과,영양군,129.0633103,36.6606191
영주시안정면보건지소,내과,영주시,128.5566697,36.8459286
영천시화북면보건지소,내과,영천시,128.9193771,36.1082892
영주시단산면보건지소,내과,영주시,128.6187305,36.9510023
중동면보건지소,내과,상주시,128.2690653,36.4270158
내서면보건지소,내과,상주시,128.067018,36.4122506
화북면보건지소,내과,상주시,127.9207576,36.5599253
은척면보건지소,내과,상주시,128.0714287,36.5313554
무을면보건지소,내과,구미시,128.1989698,36.2608894
북삼읍보건지소,내과,칠곡군,128.3420559,36.0630604
고령군덕곡면보건지소,내과,고령군,128.2318595,35.7788315
영천시북안면보건지소,내과,영천시,129.0074943,35.9200205
칠곡군지천면보건지소,내과,칠곡군,128.4915501,35.9564173
포항시남구구룡포읍보건지소,내과,포항남구,129.5525524,35.9912406
공검면보건지소,내과,상주시,128.1592368,36.5121765
칠곡군동명면보건지소,내과,칠곡군,128.5522798,35.9849394
가산면보건지소,내과,칠곡군,128.5390508,36.0844037
영주시부석면보건지소,내과,영주시,128.6541519,36.9788722
경주시건천보건지소,내과,경주시,129.1019346,35.8499328
영천시대창면보건지소,내과,영천시,128.8946401,35.8760649
영주시순흥면보건지소,내과,영주시,128.574913,36.915757
영천시고경면보건지소,내과,영천시,129.0463053,36.0017437
영천시화산면보건지소,내과,영천시,128.852338,36.020417
영천시청통면보건지소,내과,영천시,128.8234296,35.9919977
굿모닝병원,내과,경주시,129.218775,35.8561685
시티요양병원,내과,포항북구,129.3635495,36.0345584
김영조내과의원,내과,칠곡군,128.3980112,35.9926517
파티마소아청소년과의원,내과,구미시,128.3555592,36.0881735
강동의원,내과,경주시,129.275672,35.9889777
강동의원,내과,경주시,129.275672,35.9889777
영남이비인후과의원,내과,경산시,128.7537516,35.8371534
스마일의원,내과,경주시,129.2024312,35.8671642
척바른신경외과의원,내과,경주시,129.215492,35.8447447
하하정형외과의원,내과,고령군,128.4540823,35.8232428
동행의원,내과,김천시,128.0688187,36.1738758
경대연합의원,내과,포항북구,129.2101839,36.0701826
서울메디컬의원,내과,성주군,128.2857681,35.9161023
참좋은재활의학과의원,내과,안동시,128.7302513,36.5633686
행복드림의원,내과,경산시,128.7643261,35.8416116
서울마디의원,내과,영주시,128.6219351,36.8258409
에스의원,내과,구미시,128.4324595,36.0941027
황금의원,내과,김천시,128.1238797,36.1162856
마디튼튼정형외과의원,내과,영천시,128.9392962,35.9662177
상주적십자병원,내과,상주시,128.1555556,36.4146221
포항성모병원,내과,포항남구,129.3399527,36.0159003
경상북도포항의료원,내과,포항북구,129.3549409,36.0348814
의료법인덕산의료재단김천제일병원,내과,김천시,128.1187923,36.1354003
동국대학교의과대학경주병원,내과,경주시,129.1966582,35.8583076
경상북도안동의료원,내과,안동시,128.7321116,36.5682206
순천향대학교 부속 구미병원,내과,구미시,128.3827377,36.1029182
차의과학대학교부속구미차병원,내과,구미시,128.3405414,36.1145325
경상북도김천의료원,내과,김천시,128.1264391,36.1227232
의료법인동춘의료재단문경제일병원,내과,문경시,128.189225,36.58444
의료법인한성재단포항세명기독병원,내과,포항남구,129.3622256,36.0177172
안동성소병원,내과,안동시,128.7228172,36.5672423
구미강동병원,내과,구미시,128.4228695,36.096239
영남대학교의과대학부속영천병원,내과,영천시,128.913212,35.957285
의료법인안동병원,내과,안동시,128.7010976,36.5467408
의료법인 제중원 제남병원,내과,의성군,128.5821659,36.2999848
의료법인명성의료재단영양병원,내과,영양군,129.1171477,36.6626832
의료법인현암의료재단 포항우리병원,내과,포항북구,129.3523389,36.0215498
경북재활병원,내과,안동시,128.6959574,36.6539126
예천권병원,내과,예천군,128.458942,36.6574115
울진군의료원,내과,울진군,129.4095737,36.9926961
