요양기관명,진료과목코드명,시군구코드명,좌표(X),좌표(Y)
한사랑병원,내과,광주광산구,126.8179582,35.1726294
미래아동병원,내과,광주남구,126.910708,35.1336818
늘푸른요양병원,내과,광주북구,126.911133,35.1693304
민소아청소년과의원,내과,광주서구,126.8786828,35.1251597
신세계내과의원,내과,광주서구,126.8837249,35.1594504
한가족의원,내과,광주동구,126.9322943,35.1314774
리움여성의원,내과,광주북구,126.8648096,35.2068563
양산연합의원,내과,광주북구,126.8737165,35.2058006
삼일의원,내과,광주북구,126.8971334,35.1628264
신세계내과의원,내과,광주서구,126.8837249,35.1594504
삼성탑내과의원,내과,광주북구,126.8736234,35.2103889
민소아청소년과의원,내과,광주서구,126.8786828,35.1251597
삼성탑내과의원,내과,광주북구,126.8736234,35.2103889
연합외과의원,내과,광주광산구,126.8257005,35.1787307
민소아청소년과의원,내과,광주서구,126.8786828,35.1251597
소망가정의원,내과,광주서구,126.8714536,35.1453698
행복플러스의원,내과,광주광산구,126.8087655,35.1687726
삼성탑내과의원,내과,광주북구,126.8736234,35.2103889
삼성탑내과의원,내과,광주북구,126.8736234,35.2103889
서울탑내과의원,내과,광주광산구,126.7954163,35.1408284
삼성탑내과의원,내과,광주북구,126.8736234,35.2103889
위드유소아청소년과의원,내과,광주북구,126.8731658,35.2120499
소문난내과의원,내과,광주서구,126.8797913,35.1254985
삼성탑내과의원,내과,광주북구,126.8736234,35.2103889
라파가정의학과의원,내과,광주서구,126.8548827,35.1313128
서울탑내과의원,내과,광주광산구,126.7954163,35.1408284
삼성탑내과의원,내과,광주북구,126.8736234,35.2103889
베스트마취통증의학과의원,내과,광주북구,126.8751193,35.1792839
서울탑내과의원,내과,광주광산구,126.7954163,35.1408284
삼성탑내과의원,내과,광주북구,126.8736234,35.2103889
서남대학교병원,내과,광주동구,126.9150205,35.1447273
첨단종합병원,내과,광주광산구,126.8453041,35.2211088
광주기독병원,내과,광주남구,126.911875,35.136665
하남성심병원,내과,광주광산구,126.8009586,35.1666556
광주씨티병원,내과,광주남구,126.8994848,35.1177147
신가병원,내과,광주광산구,126.8296527,35.1774148
광주보훈병원,내과,광주광산구,126.849672,35.2079032
조선대학교병원,내과,광주동구,126.9261468,35.1390538
서광병원,내과,광주서구,126.8557303,35.1325949
전남대학교병원,내과,광주동구,126.9215805,35.1418094
상무병원,내과,광주서구,126.8538803,35.1527509
광주희망병원,내과,광주북구,126.8747341,35.2134937
동아병원,내과,광주남구,126.8999505,35.1348132
광주병원,내과,광주북구,126.9281408,35.178903
광주센트럴병원,내과,광주광산구,126.8292553,35.1854695
첨단우리병원,내과,광주광산구,126.8428334,35.2216255
중앙병원,내과,광주서구,126.880533,35.1523695
광주새우리병원,내과,광주서구,126.8813934,35.1536997
