요양기관명,진료과목코드명,시군구코드명,좌표(X),좌표(Y)
달성군가창면보건지소,내과,대구달성군,128.6228183,35.8026898
달성군논공읍보건지소,내과,대구달성군,128.4199139,35.7743052
꽃담한방병원,내과,대구수성구,128.6261125,35.8620698
대구자생한방병원,내과,대구중구,128.5860059,35.8664278
잘보는한방병원,내과,대구달서구,128.5467564,35.8541925
수월한방병원,내과,대구북구,128.5915844,35.8890153
창한방병원,내과,대구달서구,128.5434833,35.852139
새로난한방병원,내과,대구수성구,128.6351853,35.8584778
수월한방병원,내과,대구북구,128.5915844,35.8890153
수월한방병원,내과,대구북구,128.5915844,35.8890153
대구S한방병원,내과,대구달서구,128.5484827,35.8540762
고려에이치한방병원,내과,대구수성구,128.6228833,35.8331355
리봄한방병원 대구점,내과,대구중구,128.5946495,35.8670088
광명한방병원,내과,대구달서구,128.534796,35.8185697
영남의원,내과,대구중구,128.6100435,35.868387
21세기내과의원,내과,대구수성구,128.6401431,35.8733292
영남의원,내과,대구중구,128.6100435,35.868387
영남의원,내과,대구중구,128.6100435,35.868387
강심내과의원,내과,대구중구,128.5976655,35.865193
파티마마취통증의학과의원,내과,대구남구,128.5567693,35.8361153
가나정형외과의원,내과,대구달성군,128.460505,35.6932523
파티마마취통증의학과의원,내과,대구남구,128.5567693,35.8361153
바른등신경외과의원,내과,대구수성구,128.6376026,35.8723922
속시원내과방사선과의원,내과,대구북구,128.6112316,35.8989007
미즈유외과의원,내과,대구수성구,128.6245489,35.8596202
오즈소아청소년과의원,내과,대구북구,128.6114256,35.9007956
이현연합의원,내과,대구서구,128.550567,35.8785661
혜민내과의원,내과,대구달서구,128.5245907,35.8139571
파티마마취통증의학과의원,내과,대구남구,128.5567693,35.8361153
상쾌한속내과의원,내과,대구수성구,128.6103385,35.8248029
킴스연합의원,내과,대구달서구,128.5462489,35.8203993
아이플러스소아청소년과의원,내과,대구달성군,128.4928919,35.8682678
한성병원,내과,대구북구,128.5978729,35.8762618
파티마내과의원,내과,대구남구,128.5692369,35.848131
21세기내과의원,내과,대구수성구,128.6401431,35.8733292
민트소아청소년과의원,내과,대구동구,128.6153433,35.8792992
다나을의원,내과,대구달서구,128.5456091,35.8437348
신세계재활의학과의원,내과,대구달서구,128.5393487,35.8433268
상쾌한속내과의원,내과,대구수성구,128.6103385,35.8248029
오즈소아청소년과의원,내과,대구북구,128.6114256,35.9007956
지니소아청소년과의원,내과,대구중구,128.5777942,35.86479
상쾌한속내과의원,내과,대구수성구,128.6103385,35.8248029
건강한속내과의원,내과,대구달서구,128.5243968,35.8244232
햇살소아청소년과의원,내과,대구동구,128.6157262,35.8726593
신세계병원,내과,대구북구,128.6134367,35.8975347
경북대학교병원,내과,대구중구,128.604703,35.8662525
곽병원,내과,대구중구,128.5885849,35.8710213
대구가톨릭대학교병원,내과,대구남구,128.5679969,35.8436078
대구의료원,내과,대구서구,128.540587,35.85964
계명대학교동산병원,내과,대구달서구,128.4801315,35.8538856
한국보훈복지의료공단 대구보훈병원,내과,대구달서구,128.5519785,35.8028206
영남대학교병원,내과,대구남구,128.58205,35.848107
의료법인구의료재단 구병원,내과,대구달서구,128.5414437,35.8506236
대구가톨릭대학교 칠곡가톨릭병원,내과,대구북구,128.5493894,35.9348614
대구파티마병원,내과,대구동구,128.6244071,35.8842611
(재)미리내천주성삼성직수도회천주성삼병원,내과,대구수성구,128.7057102,35.8402518
의료법인해정의료재단더좋은병원,내과,대구수성구,128.6185054,35.8546128
신세계병원,내과,대구북구,128.6134367,35.8975347
드림종합병원,내과,대구남구,128.5744911,35.8395584
삼일병원,내과,대구달서구,128.5535826,35.8324956
동인외과병원,내과,대구수성구,128.6334512,35.8700948
계명대학교대구동산병원,내과,대구중구,128.5831323,35.8694728
의료법인 백천의료재단 바로본병원,내과,대구동구,128.6151336,35.8684487
보광병원,내과,대구달서구,128.541672,35.8367287
의료법인명문의료재단 대구기독병원,내과,대구달서구,128.5568651,35.8570263
의료법인해성의료재단해성병원,내과,대구달서구,128.5028247,35.8551111
의료법인열경의료재단 허병원,내과,대구달서구,128.5395572,35.8336231
한성병원,내과,대구북구,128.5978729,35.8762618
(의)서봉의료재단 보강병원,내과,대구달서구,128.5256832,35.8137187
문성병원,내과,대구남구,128.570425,35.8487654
더블유병원,내과,대구달서구,128.5449481,35.8526313
성서병원,내과,대구달서구,128.4932205,35.8510574
나사렛종합병원,내과,대구달서구,128.5250947,35.8147003
의료법인춘곡의료재단수성메트로병원,내과,대구수성구,128.6460171,35.8594246
대구굿모닝병원,내과,대구남구,128.5740875,35.8530071
남산병원,내과,대구중구,128.5819099,35.8614705
인제재활병원,내과,대구수성구,128.611538,35.86164
세민병원,내과,대구서구,128.5640272,35.8716611
수성한미병원,내과,대구수성구,128.6193782,35.8591401
여성메디파크병원,내과,대구수성구,128.6246267,35.8545807
칠곡경북대학교병원,내과,대구북구,128.5646727,35.9564207
진병원,내과,대구동구,128.7133165,35.8662954
화원연세병원,내과,대구달성군,128.4933909,35.8016954
늘시원한위대항병원,내과,대구북구,128.6114256,35.9007956
새동산병원,내과,대구서구,128.5723962,35.8724694
의료법인강의료재단 강병원,내과,대구북구,128.5699055,35.8936726
침산제이병원,내과,대구북구,128.5860549,35.8889729
의료법인 일민의료재단 세강병원,내과,대구달서구,128.5516696,35.8368499
의료법인경동의료재단효성병원,내과,대구수성구,128.6127669,35.8427661
올곧은병원,내과,대구수성구,128.6343821,35.8713641
광개토병원,내과,대구중구,128.5938233,35.8661086
달서미즈맘병원,내과,대구달서구,128.5213554,35.8132898
대구병원,내과,대구북구,128.5487694,35.9132997
대구보건대학교병원,내과,대구북구,128.5576831,35.9427527
힘센병원,내과,대구남구,128.5989106,35.8451327
대구시티병원,내과,대구북구,128.6194685,35.8934682
대구삼선병원,내과,대구북구,128.5492292,35.9356101
제이병원,내과,대구서구,128.5491617,35.8551741
시지열린아동병원,내과,대구수성구,128.7052207,35.8403253
한가람병원,내과,대구동구,128.6415177,35.8904333
한영한마음아동병원,내과,대구남구,128.5559907,35.8346017
열린큰병원,내과,대구서구,128.5696568,35.8618134
한미병원,내과,대구달서구,128.5113827,35.8548379
이시아연세병원,내과,대구동구,128.6431243,35.9209151
열린중앙병원,내과,대구달성군,128.446507,35.7291311
의료법인 대구의료재단 케이병원,내과,대구북구,128.5471789,35.9277028
수성아동병원,내과,대구수성구,128.6163607,35.8540407
뉴라이프병원,내과,대구북구,128.6166278,35.8982864
푸른병원,내과,대구중구,128.5889798,35.8759034
에스병원,내과,대구달서구,128.5364255,35.8378831
더열린병원,내과,대구달서구,128.5385608,35.8511052
통합의료진흥원 전인병원,내과,대구남구,128.5694887,35.8432958
라파엘병원,내과,대구중구,128.5918417,35.8603954
척척병원,내과,대구북구,128.5502674,35.9421256
대명의료재단서대구병원,내과,대구서구,128.5529832,35.8696463
척탑병원,내과,대구중구,128.5827035,35.8654491
근로복지공단 대구병원,내과,대구북구,128.564003,35.9507998
한신병원,내과,대구서구,128.5566315,35.8633475
의료법인백산의료재단K마디병원,내과,대구북구,128.5739006,35.8881935
분홍빛으로병원,내과,대구중구,128.6033858,35.8671822
열린아동병원,내과,대구달서구,128.5357034,35.8495603
MS재건병원,내과,대구중구,128.6048872,35.8718541
행복한 병원,내과,대구달성군,128.4706272,35.6932874
최병원,내과,대구북구,128.6136267,35.8968007
의료법인상보의료재단 대구경상병원,내과,대구달서구,128.558434,35.8573412
리더스재활의학병원,내과,대구남구,128.5745263,35.8566214
의료법인 효민의료재단 큰사랑병원,내과,대구북구,128.6046858,35.884639
마디탄탄병원,내과,대구달서구,128.5367166,35.8190366
진천신라병원,내과,대구달서구,128.5169577,35.8110153
대구광역시시지노인전문병원,내과,대구수성구,128.7104698,35.8289669
효경지요양병원,내과,대구동구,128.642763,35.875849
휴요양병원,내과,대구달서구,128.5733124,35.8515526
아주조은요양병원,내과,대구서구,128.5552984,35.8752976
의료법인정목의료재단한패밀리요양병원,내과,대구수성구,128.623975,35.8313333
남대구요양병원,내과,대구서구,128.5571162,35.8858804
달성요양병원,내과,대구달성군,128.4286841,35.7772576
대구연세요양병원,내과,대구서구,128.5502538,35.8785344
성서요양병원,내과,대구달서구,128.5188084,35.8480203
메디암요양병원,내과,대구남구,128.5943723,35.8453695
의료법인 효민의료재단 대구큰사랑요양병원,내과,대구북구,128.6046858,35.884639
열린요양병원,내과,대구서구,128.5594579,35.8794581
대구광역시서부노인전문병원,내과,대구서구,128.5392242,35.859729
의료법인가창삼성의료재단 가창삼성요양병원,내과,대구달성군,128.6590379,35.736966
의료법인상보의료재단 대구경상요양병원,내과,대구달서구,128.558434,35.8573412
동대구요양병원,내과,대구동구,128.6312815,35.8836778
노아요양병원,내과,대구중구,128.6061447,35.8710989
뉴영대요양병원,내과,대구남구,128.5863261,35.843707
웰니스1004요양병원,내과,대구서구,128.5708323,35.8621397
제일효요양병원,내과,대구서구,128.56042,35.8789646
파티마요양병원,내과,대구동구,128.6227735,35.8833539
성요셉요양병원,내과,대구달성군,128.4536443,35.7210029
대구행복요양병원,내과,대구달서구,128.5274069,35.8145194
고은재활요양병원,내과,대구남구,128.5835024,35.8537318
가창파티마요양병원,내과,대구달성군,128.6497959,35.7499693
