요양기관명,진료과목코드명,시군구코드명,좌표(X),좌표(Y)
충남대학교병원,내과,대전중구,127.415363,36.316908
학교법인 가톨릭학원 가톨릭대학교 대전성모병원,내과,대전중구,127.420163,36.323042
의료법인 영훈의료재단 대전선병원,내과,대전중구,127.4104139,36.3360669
근로복지공단 대전병원,내과,대전대덕구,127.4285488,36.3683976
의료법인영훈의료재단 유성선병원,내과,대전유성구,127.3249507,36.3751715
학교법인 을지학원 대전을지대학교병원,내과,대전서구,127.3819888,36.3553098
대전보훈병원,내과,대전대덕구,127.4396939,36.4473164
대청병원,내과,대전서구,127.3705716,36.3082388
학교법인 건양교육재단 건양대학교병원,내과,대전서구,127.342613,36.306642
의료법인 밝은마음의료재단 워크런재활병원,내과,대전유성구,127.3506407,36.3553891
의료법인삼영의료재단 둔산병원,내과,대전서구,127.3741914,36.3507236
미즈제일여성병원,내과,대전유성구,127.344198,36.352516
고운손병원,내과,대전서구,127.3825456,36.3518442
다빈치병원,내과,대전서구,127.3855438,36.3455202
의료법인 대전미래의료재단 대전하나병원,내과,대전중구,127.4157793,36.3193704
봉키병원,내과,대전유성구,127.3437349,36.3526462
대전우리병원,내과,대전서구,127.384054,36.3436605
사회복지법인천성원신탄진한일병원,내과,대전대덕구,127.4240691,36.43405
의료법인 의명의료재단 대전병원,내과,대전대덕구,127.4177746,36.3625993
마라톤정형외과병원,내과,대전서구,127.3874339,36.3493088
가톨릭병원,내과,대전서구,127.390352,36.3364138
탄탄병원,내과,대전서구,127.3854379,36.3461176
바른생각병원,내과,대전서구,127.3778676,36.3594533
을지소아청소년과병원,내과,대전대덕구,127.436092,36.3676172
글로벌튼튼병원,내과,대전동구,127.43321,36.3578474
킴벨피부과병원,내과,대전서구,127.3799643,36.3541121
대전본병원,내과,대전유성구,127.3429741,36.3526651
에스앤케이병원,내과,대전서구,127.382579,36.3487189
대전웰니스병원,내과,대전대덕구,127.4434289,36.3547848
대전센텀병원,내과,대전서구,127.3898363,36.3595134
대전화병원,내과,대전동구,127.4389784,36.3290865
새손병원,내과,대전중구,127.4098028,36.3242661
국군대전병원,내과,대전유성구,127.3495957,36.3992697
대전한국병원,내과,대전동구,127.4358152,36.3482008
평화요양병원,내과,대전중구,127.4084895,36.3473336
산내효요양병원,내과,대전동구,127.4648162,36.2778575
의료법인나우리의료재단나우리요양병원,내과,대전유성구,127.3195123,36.3038107
의료법인 한일의료재단 패밀리요양병원,내과,대전중구,127.4241204,36.325646
한남요양병원,내과,대전대덕구,127.4262702,36.3585482
의)밝은마음의료재단 유성한가족요양병원,내과,대전유성구,127.3506407,36.3553891
대전기독요양병원,내과,대전동구,127.4417122,36.3301564
푸른요양병원,내과,대전서구,127.3641693,36.3568006
대전광역시립제2노인전문병원,내과,대전동구,127.4404789,36.2126013
대전그린의료소비자생활협동조합그린요양병원,내과,대전동구,127.4599442,36.3160561
둔산요양병원,내과,대전서구,127.3872537,36.3499644
사회복지법인 금성복지재단 보광노인전문병원,내과,대전동구,127.4530184,36.2270566
의료법인고려의료재단 원동요양병원,내과,대전동구,127.4357679,36.3263564
의료법인 남영의료재단  남영노인전문병원,내과,대전동구,127.4288293,36.3337075
벤조인요양병원,내과,대전유성구,127.3179351,36.3861643
테크노요양병원,내과,대전유성구,127.4007735,36.4245671
의료법인고운손의료재단고운마음요양병원,내과,대전유성구,127.3242163,36.3867831
보아스요양병원,내과,대전서구,127.3811392,36.3277745
의료법인 산수의료재단 웰시티요양병원,내과,대전중구,127.4306978,36.3208597
의료법인 참사랑의료재단 대전참사랑요양병원,내과,대전서구,127.380206,36.3455663
의료법인 세명의료재단 세명요양병원,내과,대전중구,127.4175685,36.335057
대전연세요양병원,내과,대전유성구,127.3508882,36.358794
의료법인 원전의료재단보니파시오요양병원,내과,대전대덕구,127.423717,36.440679
의료법인대전석천의료재단 섬김요양병원,내과,대전중구,127.3974373,36.3192985
의료법인 선사인혜요양병원,내과,대전서구,127.3779224,36.3613229
의료법인 정다운의료재단 나진요양병원,내과,대전서구,127.3713404,36.3416514
의료법인 지덕사의료재단 양녕요양병원,내과,대전서구,127.3687937,36.3447403
홍제요양병원,내과,대전대덕구,127.4448586,36.3568047
의료법인비에스의료재단 브레인요양병원,내과,대전유성구,127.3386863,36.3515606
의료법인 원전의료재단 가양요양병원,내과,대전동구,127.4469139,36.3462248
세우리병원,내과,대전서구,127.3783636,36.3554541
대전보람요양병원,내과,대전중구,127.4332686,36.3233974
중구의료소비자생활협동조합 보문산생태요양병원,내과,대전중구,127.4207477,36.3111452
중부요양병원,내과,대전중구,127.3919674,36.3166838
둔산엔젤요양병원,내과,대전서구,127.379941,36.3541136
남대전요양병원,내과,대전동구,127.4630041,36.2834788
튼튼요양병원,내과,대전중구,127.4118034,36.3347942
큰우리요양병원,내과,대전유성구,127.2987341,36.346392
사회복지법인 성화 대전재활병원,내과,대전유성구,127.3527097,36.357189
사회복지법인천성원 대전한일병원,내과,대전대덕구,127.4130935,36.3667905
의료법인 리노의료재단 유성웰니스재활병원,내과,대전유성구,127.3485927,36.3535048
마인드병원,내과,대전서구,127.3822592,36.354118
누리엘병원,내과,대전동구,127.4323523,36.3479337
온누리좋은요양병원,내과,대전서구,127.3878472,36.3280937
탄방엠블병원,내과,대전서구,127.384054,36.3436605
백세요양병원,내과,대전중구,127.4283495,36.3238691
대전동부요양병원,내과,대전동구,127.4669301,36.327208
박중진내과의원,내과,대전동구,127.4279304,36.3316624
이기정내과의원,내과,대전서구,127.3782671,36.3167768
김남철소아청소년과의원,내과,대전동구,127.4364706,36.3412597
조성운내과의원,내과,대전중구,127.4218241,36.3234052
김태명의원,내과,대전동구,127.4608138,36.3223917
연세포유의원,내과,대전대덕구,127.4157142,36.3525963
월평성모의원,내과,대전서구,127.3690032,36.3632586
대전성모내과의원,내과,대전중구,127.4124332,36.3392267
튼튼제일의원,내과,대전동구,127.4336303,36.3300159
안필상내과의원,내과,대전서구,127.3704418,36.3222993
이철원내과의원,내과,대전서구,127.3807879,36.3341544
인구보건복지협회대전충남지회가족보건의원,내과,대전중구,127.4026001,36.3290073
고운마음의원,내과,대전중구,127.4237836,36.3281102
한민내과의원,내과,대전중구,127.4178883,36.3229882
김주병제통의원,내과,대전대덕구,127.4293394,36.4467958
새서울내과영상의학과의원,내과,대전중구,127.4138062,36.3218449
최금숙산부인과의원,내과,대전서구,127.376084,36.310982
박훈영내과의원,내과,대전서구,127.3795337,36.3134096
고려신경정신과의원,내과,대전중구,127.4254905,36.3293274
김익수마취통증의학과의원,내과,대전중구,127.4362675,36.3121302
이호외과의원,내과,대전서구,127.3945069,36.3390226
이철호비뇨기과의원,내과,대전중구,127.4272061,36.3294438
동인연합의원,내과,대전중구,127.4223225,36.3292599
사)한국건강관리협회건강증진의원,내과,대전서구,127.3910972,36.3406032
차종식피부과의원,내과,대전서구,127.3861739,36.3482141
윤대호가정의학과의원,내과,대전동구,127.4348601,36.3431082
김석필내과의원,내과,대전동구,127.4452494,36.3468097
김명숙소아청소년과의원,내과,대전동구,127.4433745,36.3296268
동양내과의원,내과,대전서구,127.378641,36.3508361
사)대한산업보건협회부설충남의원,내과,대전대덕구,127.4051779,36.4460103
사단법인대한결핵협회대전세종충남지부부설복십자의원,내과,대전중구,127.4325811,36.3201242
성애참의원,내과,대전유성구,127.3220026,36.3000073
참좋은소아청소년과의원,내과,대전대덕구,127.420464,36.451758
예담정신건강의학과의원,내과,대전동구,127.4602549,36.3179242
박승억내과의원,내과,대전서구,127.3939511,36.3462752
보건의원,내과,대전중구,127.4259065,36.3274023
대덕의원,내과,대전대덕구,127.4231003,36.4008445
신재승의원,내과,대전서구,127.3942495,36.3377554
박붕연내과의원,내과,대전유성구,127.3121865,36.3913013
김승태내과의원,내과,대전동구,127.4373276,36.3217948
이강산가정의학과의원,내과,대전동구,127.4318851,36.3497443
바른손외과의원,내과,대전중구,127.432534,36.3135489
나상연정형외과의원,내과,대전동구,127.4412391,36.3290405
선사내과의원,내과,대전서구,127.3772719,36.3600497
세형정형외과의원,내과,대전대덕구,127.4213933,36.4485368
덕인의원,내과,대전동구,127.4340005,36.3295428
권오균소아과의원,내과,대전유성구,127.3113748,36.3915756
시티내과의원,내과,대전서구,127.3822281,36.3510471
기린의원,내과,대전대덕구,127.4251443,36.3728336
김봉천정형외과의원,내과,대전서구,127.3490662,36.3038678
청담여성의원,내과,대전서구,127.3641788,36.3579136
이기수의원,내과,대전서구,127.3648967,36.3609364
관저한사랑의원,내과,대전서구,127.3401756,36.3017381
삼부의원,내과,대전중구,127.388705,36.3179497
의료법인중앙의료재단씨엠아이의원,내과,대전서구,127.3874246,36.3582783
효동성모의원,내과,대전동구,127.4407245,36.3182479
문화연세의원,내과,대전중구,127.3979022,36.3069555
김선무정신건강의학과의원,내과,대전동구,127.4325446,36.3307838
갈마중앙의원,내과,대전서구,127.3682526,36.3455317
노은화이트필의원,내과,대전유성구,127.3191382,36.3725342
동양굿모닝영상의학과의원,내과,대전서구,127.390752,36.3408081
정일호외과의원,내과,대전서구,127.3683226,36.3537556
신탄진의원,내과,대전대덕구,127.4243785,36.4501277
버드내내과의원,내과,대전중구,127.388705,36.3179497
세일플러스의원,내과,대전중구,127.4474951,36.306419
광명의원,내과,대전서구,127.3690032,36.3632586
유철재내과의원,내과,대전서구,127.3906971,36.336579
닥터오즈정신건강의학과의원,내과,대전서구,127.3772719,36.3600497
장안외과의원,내과,대전대덕구,127.431179,36.3616612
김형곤의원,내과,대전중구,127.385255,36.3043732
삼성송암내과의원,내과,대전서구,127.3878598,36.3563444
둔산내과의원,내과,대전서구,127.3974232,36.3510428
윤일국내과의원,내과,대전동구,127.4600385,36.3169902
판암가정의학과의원,내과,대전동구,127.4609698,36.3174738
나우내과의원,내과,대전서구,127.3681395,36.3531892
을지정형외과의원,내과,대전유성구,127.388198,36.4341896
이상두소아과의원,내과,대전유성구,127.319941,36.2984494
그린성모의원,내과,대전서구,127.3753822,36.3521737
새일의원,내과,대전대덕구,127.4125544,36.4472514
동서연합의원,내과,대전동구,127.460785,36.3234077
백제정형외과의원,내과,대전중구,127.4370027,36.3137198
강창규내과의원,내과,대전유성구,127.3847808,36.4332407
덕진의원,내과,대전서구,127.3739515,36.3191304
경소아청소년과의원,내과,대전대덕구,127.4309506,36.3691448
쾌유내과의원,내과,대전서구,127.3996391,36.3510488
송강하나의원,내과,대전유성구,127.3825476,36.4361819
둔산한빛내과의원,내과,대전서구,127.3898316,36.3506067
한빛외과의원,내과,대전서구,127.3687834,36.3438656
박찬권내과의원,내과,대전동구,127.4608818,36.3225515
김성걸내과의원,내과,대전중구,127.4148813,36.3338324
빈기태내과의원,내과,대전동구,127.4603499,36.328101
백낙천신경과의원,내과,대전서구,127.3803022,36.3126819
샘머리성모소아청소년과의원,내과,대전서구,127.393822,36.3615949
홍인비뇨기과의원,내과,대전유성구,127.3126642,36.3918614
씨앤유피부과의원,내과,대전중구,127.4260245,36.3290704
최용석내과의원,내과,대전서구,127.3812867,36.3515681
손정형외과의원,내과,대전중구,127.4223805,36.3238877
방문권내과의원,내과,대전중구,127.3991786,36.3191215
정림이비인후과의원,내과,대전서구,127.36498,36.3074803
디에이치안광병신경과의원,내과,대전서구,127.3799843,36.3545213
유성제일정형외과의원,내과,대전유성구,127.3362767,36.3609648
건강미내과의원,내과,대전서구,127.382579,36.3487189
세계영상의학과의원,내과,대전중구,127.4116089,36.3225767
가양성모의원,내과,대전동구,127.4478628,36.3422648
둔산스마일의원,내과,대전서구,127.3872629,36.346105
동대전정형외과의원,내과,대전동구,127.4315084,36.3466321
