요양기관명,진료과목코드명,시군구코드명,좌표(X),좌표(Y)
현대요양병원,내과,부산기장군,129.2100756,35.2486598
프라임병원,내과,부산사하구,128.9658521,35.1058783
오성병원,내과,부산진구,129.0704205,35.1713273
의)청십자의료재단 행복한병원,내과,부산진구,129.0700475,35.1497852
의료법인 상원의료재단 부산힘찬병원,내과,부산동래구,129.087187,35.2014289
정관우리아동병원,내과,부산기장군,129.179536,35.3217486
금정병원,내과,부산금정구,129.0922161,35.2451243
순병원,내과,부산금정구,129.0916903,35.2364803
의료법인 인해의료재단 화명장시원병원,내과,부산북구,129.0111527,35.2345977
새부산병원,내과,부산동구,129.0391841,35.1183022
부산우리들병원,내과,부산동래구,129.0855308,35.2208431
주성산 이진용맘병원,내과,부산연제구,129.0781372,35.1924715
의료법인센텀의료재단 서부산센텀병원,내과,부산사상구,128.9845613,35.1612103
의료법인아너의료재단 아름다운강산병원,내과,부산금정구,129.1099198,35.2162976
엘리움병원,내과,부산해운대구,129.1757451,35.168815
미래로병원,내과,부산북구,129.004449,35.2113115
항플러스병원,내과,부산사하구,128.9640494,35.1058693
부산제2항운병원,내과,부산진구,129.0596264,35.1466816
아이(i)서울병원,내과,부산영도구,129.0417146,35.0877774
위대한탄생여성병원,내과,부산연제구,129.0801387,35.1848624
의료법인서강의료재단 서강병원,내과,부산동구,129.0568585,35.1388001
부산맘아동병원,내과,부산사하구,128.9689973,35.1050515
좋은날에 드라마여성병원,내과,부산동래구,129.1076027,35.1961103
새우리남산병원,내과,부산금정구,129.09212,35.2652794
재단법인 베스티안재단 베스티안부산병원,내과,부산북구,129.0086207,35.2355818
괴정어린이병원,내과,부산사하구,128.9941683,35.0985409
의료법인성신의료재단 다대수병원,내과,부산사하구,128.9708752,35.0559349
의료법인현백의료재단사상고려병원,내과,부산사상구,128.9827982,35.1699298
상쾌한병원,내과,부산수영구,129.1134692,35.1682093
이샘병원,내과,부산진구,129.0611542,35.1476285
의료법인 인당의료재단 구포부민병원,내과,부산북구,128.9904573,35.1983115
의료법인영재의료재단 큰솔병원,내과,부산사상구,128.9822913,35.1409207
김&정해운대병원,내과,부산해운대구,129.174951,35.1719523
수영어린이병원,내과,부산수영구,129.1144799,35.1657592
워크재활의학과병원,내과,부산연제구,129.084186,35.186752
부산본병원,내과,부산사하구,128.9698235,35.1062804
한양류마디병원,내과,부산연제구,129.0977103,35.188271
개나리소아청소년과병원,내과,부산강서구,128.92243,35.0981159
바른길병원,내과,부산해운대구,129.1217477,35.2059254
밝은눈안과병원,내과,부산진구,129.0513538,35.1579106
미래여성병원,내과,부산진구,129.0223781,35.153604
세웅병원,내과,부산금정구,129.1040334,35.2145413
미래병원,내과,부산동래구,129.0975758,35.1977612
부산마이크로병원,내과,부산금정구,129.0910163,35.251732
의료법인고려의료재단부산고려병원,내과,부산남구,129.092639,35.1348734
부산더키즈병원,내과,부산사하구,128.9769323,35.0815768
부산성소병원,내과,부산남구,129.0858015,35.1351066
바른병원,내과,부산서구,129.0249139,35.0976617
