요양기관명,진료과목코드명,시군구코드명,좌표(X),좌표(Y)
울산병원,내과,울산남구,129.3231103,35.5462649
학교법인 울산공업학원 울산대학교병원,내과,울산동구,129.4289116,35.5200702
의료법인 동강의료재단 동강병원,내과,울산중구,129.3019631,35.5534261
서울산보람병원,내과,울산울주군,129.1208518,35.5602974
의료법인 정안의료재단 중앙병원,내과,울산남구,129.3055534,35.5321998
(의) 내경의료재단 울산제일병원,내과,울산남구,129.307013,35.548283
의료법인 송은의료재단 울산시티병원,내과,울산북구,129.3590343,35.5828446
의료법인 은성의료재단 좋은삼정병원,내과,울산남구,129.2688243,35.5528955
에이치엠병원,내과,울산남구,129.3110064,35.5355076
중앙학문병원,내과,울산남구,129.324849,35.5370892
울산엘리야병원,내과,울산북구,129.3505372,35.6288626
의료법인정우의료재단프라우메디병원,내과,울산남구,129.3359246,35.5418919
의료법인 동강의료재단 동천동강병원,내과,울산중구,129.3504382,35.568536
(의)인석의료재단 보람병원,내과,울산남구,129.3410075,35.5425577
항사랑병원,내과,울산남구,129.329967,35.5338118
유성병원,내과,울산중구,129.3267765,35.5589804
의료법인동원의료재단강남동강병원,내과,울산남구,129.3146046,35.5382803
울산H병원,내과,울산중구,129.340714,35.5583544
울산아동병원,내과,울산북구,129.3499375,35.6328987
위드여성병원,내과,울산남구,129.3480072,35.5454856
울들병원,내과,울산남구,129.3120313,35.5412877
참바른병원,내과,울산남구,129.3341147,35.5391017
햇살아동병원,내과,울산울주군,129.2277417,35.5630792
울산미즈병원,내과,울산남구,129.270908,35.5523152
의료법인 명원의료재단 파인힐병원,내과,울산울주군,129.0735147,35.6114419
울산청맥외과병원,내과,울산남구,129.3371409,35.5389443
북울산병원,내과,울산북구,129.3442675,35.628733
아이윤병원,내과,울산중구,129.3268217,35.5582223
아이마음아동병원,내과,울산북구,129.3574932,35.6425369
건강한윌병원,내과,울산남구,129.3101817,35.5458733
의료법인에스엠씨의료재단울산세민병원,내과,울산중구,129.3309774,35.5566093
자재병원,내과,울산울주군,129.0671927,35.6059053
하이본병원,내과,울산남구,129.3300509,35.5424744
삼호요양병원,내과,울산남구,129.2698338,35.5522972
의료법인주보배의료재단 주성혜요양병원,내과,울산중구,129.3330026,35.5629873
의료법인 옐림의료재단 농소요양병원,내과,울산북구,129.3403155,35.6304122
의료법인 월촌의료재단 해솔요양병원,내과,울산북구,129.3089097,35.5317609
국민요양병원,내과,울산남구,129.3298359,35.5270726
상록수요양병원,내과,울산동구,129.4297592,35.5093952
의료법인 우아의료재단 길메리요양병원,내과,울산중구,129.3396439,35.5588628
의료법인 청산의료재단 효원요양병원,내과,울산남구,129.3070393,35.5463428
임요양병원,내과,울산남구,129.3091629,35.5329411
이손요양병원,내과,울산울주군,129.0903447,35.5064435
의료법인 건강한의료재단 울산연세요양병원,내과,울산울주군,129.2239829,35.562522
세나요양병원,내과,울산북구,129.3514338,35.6295097
BB요양병원,내과,울산북구,129.3780269,35.5593556
의료법인 세연의료재단 무거연세요양병원,내과,울산남구,129.2626935,35.5477362
언양아하브요양병원,내과,울산울주군,129.0512236,35.6360092
의료법인 청남의료재단  세민에스요양병원,내과,울산중구,129.3416795,35.5527566
범서사랑요양병원,내과,울산울주군,129.241276,35.5741416
정안요양병원,내과,울산북구,129.3134297,35.6543032
(의)성덕의료재단 간절곶자연요양병원,내과,울산울주군,129.3226471,35.3667274
방어진마린요양병원,내과,울산동구,129.4246231,35.4827341
울산광역시립노인병원,내과,울산울주군,129.2976058,35.4219901
의)우아의료재단 달동길메리요양병원,내과,울산남구,129.321686,35.5401687
따사랑요양병원,내과,울산남구,129.3071434,35.5467923
언양요양병원,내과,울산울주군,129.12552,35.5604694
의료법인 정흡의료재단 효림요양병원,내과,울산동구,129.4291107,35.5037002
구인의료재단법인 오복요양병원,내과,울산남구,129.3069606,35.5313559
좋은요양병원,내과,울산남구,129.3488603,35.5462394
의료법인 득명의료재단 씨엘요양병원,내과,울산남구,129.3214196,35.5270497
주효섭소아청소년과의원,내과,울산동구,129.4259971,35.5092967
울산의원,내과,울산남구,129.3437261,35.5404735
박원대내과의원,내과,울산남구,129.3109701,35.5422968
삼성SDI(주)부속의원,내과,울산울주군,129.094096,35.5155125
(의)고담의료재단마더스병원,내과,울산남구,129.3405,35.5344
현대미포조선부속의원,내과,울산동구,129.4088718,35.4930942
함께하는의원,내과,울산북구,129.3914099,35.5325703
가나의원,내과,울산중구,129.3276514,35.5548512
보령의원,내과,울산남구,129.2938979,35.5349373
세광병원,내과,울산울주군,129.0908491,35.4992656
에스케이에너지주식회사부속의원,내과,울산남구,129.3456708,35.5102455
구암의원,내과,울산북구,129.3892718,35.5356876
위너스자연요양병원,내과,울산중구,129.3235491,35.5814852
울산선암의원,내과,울산남구,129.3094714,35.5095251
주소아청소년과의원,내과,울산중구,129.2955875,35.5603485
백인정형외과의원,내과,울산울주군,129.1220575,35.5646346
새아침연합내과의원,내과,울산남구,129.3199495,35.5280637
나요한의원,내과,울산남구,129.3380453,35.5161424
김춘섭내과의원,내과,울산중구,129.2945456,35.5524328
박성원외과의원,내과,울산중구,129.3453715,35.5685691
유영훈내과의원,내과,울산남구,129.310427,35.5327007
온산의원,내과,울산울주군,129.30967,35.4334289
이성희내과의원,내과,울산남구,129.3202017,35.5280925
김지수마취통증의학과의원,내과,울산남구,129.31104,35.5435015
동울산신경외과의원,내과,울산동구,129.4290544,35.5033081
울산학문외과의원,내과,울산북구,129.348065,35.6358872
이창우외과의원,내과,울산동구,129.4225828,35.4883247
범서다온의원,내과,울산울주군,129.2387798,35.5703858
김환곤내과의원,내과,울산북구,129.3512801,35.6292198
언양훼밀리의원,내과,울산울주군,129.1246795,35.5660494
새현대의원,내과,울산중구,129.3443688,35.5584815
탑흉부외과의원,내과,울산남구,129.3297823,35.5342272
김유홍내과의원,내과,울산북구,129.366249,35.588621
이긍용의원,내과,울산중구,129.3274023,35.5589073
이승욱의원,내과,울산중구,129.3418436,35.5707676
백신경외과정형외과의원,내과,울산남구,129.3079922,35.5476552
청십자흉부외과의원,내과,울산북구,129.3555345,35.6222933
서생의원,내과,울산울주군,129.3236497,35.3481204
김영근의원,내과,울산북구,129.3390807,35.6625167
이기호내과의원,내과,울산북구,129.3911377,35.539587
임채갑가정의학과의원,내과,울산중구,129.2956975,35.5520436
현대자동차(주)부속의원,내과,울산북구,129.3857107,35.5370029
이강희내과의원,내과,울산중구,129.3244844,35.5560626
울산내과의원,내과,울산남구,129.3132068,35.5364378
방어진의원,내과,울산동구,129.4259346,35.4866706
강문수내과의원,내과,울산남구,129.2617451,35.5473566
마리포사산부인과의원,내과,울산중구,129.3453715,35.5685691
웅촌제일의원,내과,울산울주군,129.2092706,35.4648588
손재일이비인후과의원,내과,울산중구,129.3082788,35.5563046
김현경의원,내과,울산북구,129.3656652,35.5879252
김영애의원,내과,울산중구,129.3081561,35.5751346
울산중앙의원,내과,울산남구,129.3357833,35.5214164
