요양기관명,진료과목코드명,시군구코드명,좌표(X),좌표(Y)
고려가정의원,내과,인천서구,126.6522331,37.5587337
한림내과의원,내과,인천서구,126.6764782,37.5435977
강남정형외과의원,내과,인천계양구,126.7228242,37.5274601
한림의원,내과,인천연수구,126.6572739,37.4267969
한림의원,내과,인천연수구,126.6572739,37.4267969
튼튼정형외과의원,내과,인천동구,126.6356089,37.4803475
새봄의원,내과,인천남동구,126.7191452,37.4510136
한빛이비인후과의원,내과,인천연수구,126.677832,37.4151256
연세열린내과의원,내과,인천서구,126.671879,37.5029338
김성철내과의원,내과,인천부평구,126.7086197,37.5062123
연수의원,내과,인천연수구,126.6883832,37.4140966
복음의원,내과,인천동구,126.6429412,37.4755898
연세중앙의원,내과,인천계양구,126.7010048,37.5297464
인성의원,내과,인천강화군,126.4910945,37.741058
부부내과의원,내과,인천연수구,126.6465824,37.4244979
탑신경외과의원,내과,인천미추홀구,126.6637029,37.4429141
현대가정의원,내과,인천미추홀구,126.6620204,37.441411
현대가정의원,내과,인천미추홀구,126.6620204,37.441411
제일외과의원,내과,인천부평구,126.7226837,37.4923542
연세푸른의원,내과,인천남동구,126.7468566,37.4379693
중앙신경외과의원,내과,인천부평구,126.7036945,37.5060351
꾸러기소아청소년과의원,내과,인천부평구,126.7326286,37.4850372
유앤항외과의원,내과,인천부평구,126.7242883,37.4982125
이든의원,내과,인천연수구,126.7004445,37.4253769
인천미치과의원,내과,인천미추홀구,126.6717744,37.4395171
올플란트치과의원,내과,인천미추홀구,126.6620204,37.441411
플러스연치과의원,내과,인천미추홀구,126.6332875,37.4501915
주안열린치과의원,내과,인천미추홀구,126.6825069,37.4509416
엔터치과의원,내과,인천미추홀구,126.6793262,37.4493575
미추홀치과의원,내과,인천서구,126.659644,37.6026261
용현서울치과의원,내과,인천미추홀구,126.6370514,37.4512815
고려요양병원,내과,인천남동구,126.7247148,37.4558364
청담요양병원,내과,인천서구,126.6844889,37.4832072
제민의원,내과,인천부평구,126.7309635,37.4918061
복음의원,내과,인천동구,126.6429412,37.4755898
동산가정의학과의원,내과,인천서구,126.6746301,37.5032101
한빛이비인후과의원,내과,인천연수구,126.677832,37.4151256
양지의원,내과,인천미추홀구,126.6575636,37.4552272
인성의원,내과,인천강화군,126.4910945,37.741058
보람소아청소년과의원,내과,인천계양구,126.7463043,37.5547854
현대가정의원,내과,인천미추홀구,126.6620204,37.441411
복음의원,내과,인천동구,126.6429412,37.4755898
한빛이비인후과의원,내과,인천연수구,126.677832,37.4151256
복음의원,내과,인천동구,126.6429412,37.4755898
동인의원,내과,인천동구,126.6357693,37.4804981
양지의원,내과,인천미추홀구,126.6575636,37.4552272
티아라의원,내과,인천부평구,126.723291,37.4937558
현대가정의원,내과,인천미추홀구,126.6620204,37.441411
현대산부인과의원,내과,인천미추홀구,126.6722025,37.4393608
박재홍내과의원,내과,인천남동구,126.7331572,37.4486273
한림의원,내과,인천연수구,126.6572739,37.4267969
강남정형외과의원,내과,인천계양구,126.7228242,37.5274601
박도형정형외과의원,내과,인천계양구,126.7237144,37.5438382
신주안요양병원,내과,인천미추홀구,126.6844875,37.450761
뿌리요양병원,내과,인천남동구,126.726258,37.3984464
청라국제병원,내과,인천서구,126.6568104,37.5339413
고려가정의원,내과,인천서구,126.6522331,37.5587337
송헌일토닥토닥정신건강의학과의원,내과,인천계양구,126.7399534,37.5470052
한마음정신과의원,내과,인천부평구,126.7254245,37.4855958
예스메디칼의원,내과,인천남동구,126.736418,37.4436499
동암우리내과의원,내과,인천부평구,126.7005486,37.4728826
주안튼튼의원,내과,인천미추홀구,126.6832767,37.4663775
원당연세이비인후과의원,내과,인천서구,126.6967486,37.5926652
정우정형외과의원,내과,인천서구,126.6753369,37.5655066
연세푸른의원,내과,인천남동구,126.7468566,37.4379693
녹색중앙의원,내과,인천연수구,126.7013346,37.4235116
부평현대정형외과의원,내과,인천부평구,126.7038591,37.5078162
남촌굿모닝의원,내과,인천남동구,126.7146123,37.4319141
예닮내과가정의학과의원,내과,인천부평구,126.7007416,37.480714
고려가정의원,내과,인천서구,126.6522331,37.5587337
조영복내과의원,내과,인천남동구,126.7292363,37.4549797
연세참가정의학과의원,내과,인천중구,126.6281661,37.4715148
리앤아이산부인과의원,내과,인천남동구,126.7268514,37.3980272
홍성표내과의원,내과,인천연수구,126.6762951,37.4136449
PNC안과의원,내과,인천연수구,126.6491502,37.3971701
송림이비인후과의원,내과,인천동구,126.6453406,37.4757774
에이스가정의원,내과,인천부평구,126.7030372,37.4997766
준소아과의원,내과,인천미추홀구,126.6596409,37.4414793
화수성심의원,내과,인천동구,126.633112,37.4827223
그린메디칼의원,내과,인천남동구,126.7110995,37.4608371
송도여성의원,내과,인천연수구,126.652429,37.395829
피터팬소아청소년과의원,내과,인천중구,126.5574799,37.4872993
한빛이비인후과의원,내과,인천연수구,126.677832,37.4151256
전성희내과의원,내과,인천부평구,126.7260311,37.5158535
21세기미소내과의원,내과,인천남동구,126.7145821,37.464163
이삭가정의학과의원,내과,인천부평구,126.7146133,37.4825986
더(the)조은정신건강의학과의원,내과,인천서구,126.6968715,37.5932782
인하양내과의원,내과,인천남동구,126.6912711,37.4660314
사랑정형외과의원,내과,인천남동구,126.7114792,37.4526435
이상대내과의원,내과,인천연수구,126.6715185,37.4081883
연세최선내과의원,내과,인천연수구,126.651567,37.3949682
김훈수내과의원,내과,인천중구,126.6349422,37.465958
한림의원,내과,인천연수구,126.6572739,37.4267969
에스오디21의원,내과,인천중구,126.5607803,37.4893615
연세봄소아청소년과의원,내과,인천남동구,126.7495132,37.4241594
연수우리내과의원,내과,인천연수구,126.6975803,37.4247284
꾸러기소아청소년과의원,내과,인천부평구,126.7326286,37.4850372
보람정형외과의원,내과,인천계양구,126.7378279,37.5312215
송림본마취통증의학과의원,내과,인천동구,126.6453406,37.4757774
견우정형외과의원,내과,인천남동구,126.7203552,37.4638992
연세공항의원,내과,인천중구,126.4621118,37.4387932
정준가정의학과의원,내과,인천부평구,126.741099,37.493152
삼성오케이의원,내과,인천계양구,126.7098186,37.5341269
인천광역시동구보건소,내과,인천동구,126.6259508,37.4831114
주문보건지소,내과,인천강화군,126.2383018,37.6508576
엘리트성형외과의원,내과,인천남동구,126.7029031,37.4502889
바로나은정형외과의원,내과,인천남동구,126.7265621,37.398259
모아연합소아청소년과의원,내과,인천중구,126.4912091,37.4927087
하이큐영상의원,내과,인천부평구,126.7208225,37.5188242
다사랑메디칼의원,내과,인천미추홀구,126.6616543,37.4500276
이수정형외과의원,내과,인천미추홀구,126.6374387,37.4518349
논현메디칼정형외과의원,내과,인천남동구,126.7120045,37.41377
이한진가정의학과의원,내과,인천남동구,126.7107209,37.4526873
명장한방병원,내과,인천서구,126.6764089,37.5928722
볼음보건지소,내과,인천강화군,126.1980818,37.6701212
숭의보건지소,내과,인천미추홀구,126.6490322,37.4644625
미담한방병원,내과,인천계양구,126.7110823,37.5319462
다나은한방병원,내과,인천부평구,126.7306876,37.4874957
의료법인예현의료재단 세종한방병원,내과,인천남동구,126.7203063,37.4600359
가천대학교부속 길한방병원,내과,인천중구,126.631332,37.4737923
소화소아청소년과의원,내과,인천남동구,126.7348375,37.4614074
가좌연세정형외과의원,내과,인천서구,126.6860613,37.4927893
손지원내과의원,내과,인천남동구,126.7024459,37.4466991
온정형외과의원,내과,인천남동구,126.7489215,37.4248367
인천편안내과의원,내과,인천계양구,126.7228142,37.5277438
바른성모내과의원,내과,인천남동구,126.7106361,37.4589346
송도이.이.주내과의원,내과,인천연수구,126.6491502,37.3971701
연세인이비인후과의원,내과,인천서구,126.6853525,37.4931242
논현연세정형외과의원,내과,인천남동구,126.7246687,37.4014468
조수신소아청소년과의원,내과,인천남동구,126.7212974,37.4015308
부평성모재활의학과의원,내과,인천부평구,126.7273422,37.4954816
도담이비인후과의원,내과,인천연수구,126.6960443,37.4223175
모두튼튼의원,내과,인천부평구,126.7171027,37.5064675
꾸러기소아청소년과의원,내과,인천부평구,126.7326286,37.4850372
해사랑마취통증의학과의원,내과,인천연수구,126.6762951,37.4136449
본 의원,내과,인천강화군,126.4868404,37.7453988
논현우리정형외과의원,내과,인천남동구,126.7239435,37.401382
최앤박내과외과의원,내과,인천남동구,126.7246687,37.4014468
이준승내과의원,내과,인천남동구,126.7157168,37.4564911
요셉마디의원,내과,인천미추홀구,126.6787221,37.4483238
아루카소아청소년과의원,내과,인천계양구,126.7391287,37.5335596
인천수한방병원,내과,인천남동구,126.7342186,37.4016093
인천한방병원,내과,인천미추홀구,126.6421467,37.4603
무루한방병원,내과,인천미추홀구,126.682521,37.4634723
다나음한방병원,내과,인천연수구,126.678399,37.4167236
정인의료소비자협동조합 검단연세한방병원,내과,인천서구,126.6545529,37.6015465
더원한방병원,내과,인천미추홀구,126.6846764,37.4579089
검단스마일한방병원,내과,인천서구,126.6682001,37.5966322
보명한방병원,내과,인천미추홀구,126.633373,37.4535221
인천자생한방병원,내과,인천남동구,126.7008867,37.4451296
이앤박이비인후과의원,내과,인천남동구,126.7243667,37.4000007
계양하루여성외과의원,내과,인천계양구,126.7230321,37.5430595
오르S의원,내과,인천남동구,126.7040307,37.4433538
흑룡의원,내과,인천옹진군,124.6657461,37.9596706
원더이비인후과의원,내과,인천부평구,126.7225052,37.4931576
미추홀내과의원,내과,인천미추홀구,126.6898691,37.4593625
연세똘똘이소아청소년과의원,내과,인천남동구,126.7193693,37.4532253
연세꿈나무소아청소년과의원,내과,인천부평구,126.7129333,37.5021433
미래한솔내과의원,내과,인천부평구,126.7426314,37.521483
삼성스마일의원,내과,인천연수구,126.6570535,37.4123896
이화별의원,내과,인천서구,126.6574368,37.6026027
가좌성모의원,내과,인천서구,126.6832016,37.4890811
수앤수성형외과의원,내과,인천남동구,126.7230659,37.4016809
박병도내과의원,내과,인천미추홀구,126.6747293,37.4392709
이화웰봄소아청소년과의원,내과,인천연수구,126.6463562,37.3791794
영앤필의원,내과,인천부평구,126.7233637,37.4932868
영종 센트럴 이비인후과의원,내과,인천중구,126.503879,37.4784504
경희한방병원,내과,인천계양구,126.7175095,37.5270737
계양다나음한방병원,내과,인천계양구,126.7328837,37.5428172
구월한방병원,내과,인천남동구,126.7197908,37.4565464
서인천한방병원,내과,인천서구,126.6701262,37.5264302
고구려한방병원,내과,인천계양구,126.7325184,37.5428371
인천탑한방병원,내과,인천서구,126.6718865,37.5924732
정성한방병원,내과,인천계양구,126.7230116,37.5321066
