요양기관명,진료과목코드명,시군구코드명,좌표(X),좌표(Y)
이정훈내과의원,내과,여수시,127.6996055,34.7498616
가람의원,내과,화순군,126.9921815,35.0606496
더맑은정신건강의학과의원,내과,담양군,126.9850398,35.3157765
남도의원,내과,나주시,126.7483052,34.9215061
최고이비인후과의원,내과,여수시,127.7310295,34.7400417
열린가정의원,내과,나주시,126.7152918,35.0259274
차소아청소년과의원,내과,광양시,127.5846596,34.9790532
오케이내과의원,내과,강진군,126.7680499,34.6380201
메디탑의원,내과,강진군,126.7683425,34.6388517
참조은소아청소년과의원,내과,여수시,127.7006514,34.7488484
서울여성의원,내과,영광군,126.501989,35.2761821
365연합의원,내과,여수시,127.6632306,34.7656587
늘편한가정의학과의원,내과,목포시,126.3849013,34.7918671
센트럴내과의원,내과,나주시,126.785331,35.0215717
마디튼튼연합의원,내과,순천시,127.4903078,34.9722606
화순전남대학교병원,내과,화순군,127.0025,35.0594333
의료법인청언의료재단 순천제일병원,내과,순천시,127.524175,34.9549263
의료법인대송의료재단 무안병원,내과,무안군,126.4893985,34.9916302
의료법인영성의료재단 고흥종합병원,내과,고흥군,127.2939625,34.6210654
성가롤로병원,내과,순천시,127.5437074,34.9647334
목포기독병원,내과,목포시,126.4206,34.8045333
의료법인행촌의료재단 해남종합병원,내과,해남군,126.6127915,34.5717972
목포시의료원,내과,목포시,126.4053627,34.8039839
영광종합병원,내과,영광군,126.4989779,35.2844615
목포한국병원,내과,목포시,126.4164223,34.8092997
근로복지공단 순천병원,내과,순천시,127.5249267,34.9611351
순천중앙병원,내과,순천시,127.4844458,34.9514574
의료법인한국의료재단 순천한국병원,내과,순천시,127.5122885,34.9477666
여수전남병원,내과,여수시,127.728018,34.7450673
의료법인현경의료재단 광양서울병원,내과,광양시,127.6905821,34.9579361
나주종합병원,내과,나주시,126.7213975,35.0363159
진도한국병원,내과,진도군,126.2640944,34.4824204
구례병원,내과,구례군,127.4639375,35.2159096
사회복지법인 여수애양병원,내과,여수시,127.6250139,34.8433598
여수백병원,내과,여수시,127.7033674,34.7520043
전라남도 순천의료원,내과,순천시,127.4834682,34.9579098
의료법인거명의료재단 영광기독병원,내과,영광군,126.510877,35.274938
