요양기관명,진료과목코드명,시군구코드명,좌표(X),좌표(Y)
희망병원,내과,순창군,127.1403239,35.3769255
행복한요양병원,내과,전주덕진구,127.1459484,35.8441056
한빛요양병원,내과,남원시,127.3828044,35.4057431
윤의원,내과,김제시,126.9016651,35.7927992
윤의원,내과,김제시,126.9016651,35.7927992
윤의원,내과,김제시,126.9016651,35.7927992
항도외과의원,내과,전주덕진구,127.1235755,35.8444919
김진호내과의원,내과,진안군,127.428514,35.7917102
참편한가정의학과의원,내과,전주완산구,127.0972612,35.809304
숨편한내과의원,내과,전주완산구,127.1035573,35.8035225
혁신마취통증의학과의원,내과,완주군,127.0572784,35.8386655
혁신이비인후과의원,내과,완주군,127.0572796,35.8386682
황의원,내과,고창군,126.5598995,35.4147576
대산면보건지소,내과,남원시,127.3256497,35.4318073
그린정형외과의원,내과,전주완산구,127.129739,35.7989575
마디의원,내과,전주완산구,127.1093588,35.8182367
큰나무의원,내과,전주완산구,127.1064625,35.8168321
위편한내과의원,내과,전주완산구,127.1298804,35.8124501
기독의원,내과,정읍시,126.8454125,35.5719417
위편한내과의원,내과,전주완산구,127.1298804,35.8124501
미래항맥외과의원,내과,익산시,126.9696992,35.9583791
우리가정의학과 의원,내과,남원시,127.3793444,35.4061697
드림정형외과의원,내과,군산시,126.7374008,35.9703667
시원한마취통증의학과의원,내과,익산시,126.9711967,35.9581244
미즈아이산부인과의원,내과,군산시,126.7027259,35.9651379
마디의원,내과,전주완산구,127.1093588,35.8182367
드림정형외과의원,내과,군산시,126.7374008,35.9703667
건강플러스내과의원,내과,익산시,126.9872888,35.9575268
사과나무소아청소년과의원,내과,전주완산구,127.0976101,35.8093919
서울수의원,내과,전주덕진구,127.1502693,35.8608612
항도외과의원,내과,전주덕진구,127.1235755,35.8444919
햇님소아청소년과의원,내과,전주덕진구,127.0764952,35.8719804
바로세움의원,내과,전주완산구,127.1366714,35.7936384
빛마취통증의학과의원,내과,전주덕진구,127.1274216,35.8663634
하늘정형외과의원,내과,완주군,127.1279658,35.9605686
하늘가정의학과의원,내과,전주덕진구,127.1094794,35.8427815
대성의원,내과,정읍시,126.8538473,35.5638688
미르소아청소년과의원,내과,전주완산구,127.100836,35.8021436
튼튼가정의학과의원,내과,김제시,126.9036846,35.8005856
다사랑병원,내과,전주완산구,127.1278679,35.8008731
재단법인예수병원유지재단예수병원,내과,전주완산구,127.1332292,35.8143917
재단법인 아산사회복지재단 정읍아산병원,내과,정읍시,126.8234125,35.5888321
한양병원,내과,전주완산구,127.1351507,35.7961523
원광대학교병원,내과,익산시,126.9595793,35.9646389
전북대학교병원,내과,전주덕진구,127.1411626,35.8470974
의료법인 오성의료재단 동군산병원,내과,군산시,126.737162,35.9774829
전라북도 남원의료원,내과,남원시,127.4073171,35.4318756
전주기독병원,내과,전주완산구,127.1154083,35.8087166
전라북도 군산의료원,내과,군산시,126.7117407,35.9549526
부안성모병원,내과,부안군,126.7345709,35.7248401
부안21세기병원,내과,부안군,126.7371441,35.730377
대자인병원,내과,전주덕진구,127.1534707,35.8459659
익산병원,내과,익산시,126.9665159,35.9616504
남원병원,내과,남원시,127.3865418,35.4160345
전주우석병원,내과,전주완산구,127.128492,35.8173746
의료법인 동인재단 동부병원,내과,진안군,127.4177781,35.7788515
의료법인영경의료재단전주병원,내과,전주완산구,127.1248246,35.8152645
의료법인 혜성병원,내과,부안군,126.7461681,35.7328128
의료법인석천재단고창병원,내과,고창군,126.6933531,35.4364278
엠마오사랑병원,내과,전주완산구,127.137104,35.8126263
정읍사랑병원,내과,정읍시,126.8715267,35.5645783
의료법인 평화의료재단 정읍성신병원,내과,정읍시,126.8477147,35.576321
전주고려병원,내과,전주덕진구,127.1670378,35.8398807
의료법인 인산의료재단 전주열린병원,내과,전주완산구,127.1452549,35.8266151
유로병원,내과,전주완산구,127.1039757,35.8193856
사회복지법인 성바오로애덕원 성바오로복지병원,내과,완주군,127.2606125,35.8597654
우석노인요양병원,내과,익산시,126.93884,35.9239158
전주신세계정형외과병원,내과,전주덕진구,127.1205917,35.8582393
재단법인 천주교 전주교구 유지재단 익산성모병원,내과,익산시,126.9679875,35.9514291
미르피아여성병원,내과,전주완산구,127.1027237,35.8032825
실로암병원,내과,완주군,127.174325,35.9330084
의료법인정익재단 메디케어요양병원,내과,고창군,126.7433853,35.5587074
의료법인성노복지의료재단효자요양병원,내과,고창군,126.6117475,35.3903309
함열중앙병원,내과,익산시,126.9581181,36.0783183
한국노인요양병원,내과,전주덕진구,127.1335958,35.8414699
전주우리들병원,내과,전주완산구,127.1081943,35.8031428
유정요양병원,내과,고창군,126.694975,35.4261513
의료법인 일암의료재단 고려병원,내과,완주군,127.0747269,35.9096201
힐링요양병원,내과,전주덕진구,127.127563,35.836044
온고을재활의학과병원,내과,전주완산구,127.1397889,35.8122208
남원효사랑요양병원,내과,남원시,127.3870797,35.4151312
전주21세기병원,내과,전주덕진구,127.1195743,35.8509213
효사랑가족요양병원,내과,전주완산구,127.1189832,35.8066833
의료법인 한빛의료재단 행복한요양병원,내과,군산시,126.703647,35.9070519
희망병원,내과,순창군,127.1403239,35.3769255
효사랑전주요양병원,내과,전주완산구,127.1441076,35.8264291
의료법인 유진의료재단 동서병원,내과,군산시,126.7303903,35.9746921
석정웰파크병원,내과,고창군,126.7375996,35.4313984
의료법인 명지원의료재단김제중앙병원,내과,김제시,126.8774375,35.7958583
더세움병원,내과,전주덕진구,127.1592565,35.8320862
김제병원,내과,김제시,126.8821782,35.8053835
재단법인 원불교 원병원,내과,익산시,126.9525231,35.9668133
전주문병원,내과,전주완산구,127.1217315,35.8058203
드림솔병원,내과,전주완산구,127.0946327,35.8297616
의료법인 평화의료재단 군산성신병원,내과,군산시,126.7061379,35.9763309
김제우석병원,내과,김제시,126.880348,35.8072243
의료법인성하의료재단 누가병원,내과,군산시,126.7335511,35.9752881
박종혁믿음병원,내과,전주완산구,127.1064617,35.8160325
믿음병원,내과,김제시,126.9000338,35.7991324
의료법인 힐튼의료재단 솔병원,내과,부안군,126.7364142,35.7307024
하나성심병원,내과,부안군,126.7376518,35.7292716
온누리아동병원,내과,익산시,126.987136,35.952536
진안군의료원,내과,진안군,127.4320459,35.7953017
전주샘물아동병원,내과,전주완산구,127.111419,35.8155514
수사랑병원,내과,익산시,126.9379269,35.9440232
의료법인영경의료재단호성전주병원,내과,전주덕진구,127.1478954,35.8654857
키움병원,내과,군산시,126.7441223,35.9765855
정읍한국병원,내과,정읍시,126.8515587,35.5843414
유앤미 병원,내과,전주완산구,127.1223013,35.8255283
한양요양병원,내과,익산시,126.9425871,35.9420406
벧엘요양병원,내과,전주덕진구,127.1386393,35.8412628
참병원,내과,전주완산구,127.1248991,35.8037038
실로암사랑요양병원,내과,익산시,126.9734365,35.9462495
메디하우스요양병원,내과,익산시,126.9560551,35.9292133
나은병원,내과,익산시,126.9685216,35.9587505
익산제일병원,내과,익산시,126.9526717,35.931363
의료법인 의인의료재단 차병원,내과,군산시,126.6975853,35.9684809
(의) 예림의료재단 청록요양병원,내과,김제시,126.8849407,35.8020566
동산병원,내과,익산시,126.9619499,35.9368326
정읍박병원,내과,정읍시,126.848775,35.5743917
학산요양병원,내과,전주완산구,127.1435072,35.7945947
삼남재활의학과병원,내과,전주완산구,127.1253195,35.8169706
전라북도 고창노인요양병원,내과,고창군,126.6910476,35.4372162
완주요양병원,내과,완주군,127.12392,35.9579803
수요양병원,내과,익산시,126.9486851,35.9417023
홉킨스(HOPKINS)전일내과의원,내과,전주덕진구,127.1217356,35.860508
(사)대한결핵협회전북지부부설 복십자의원,내과,전주덕진구,127.1548587,35.8476997
정읍사랑요양병원,내과,정읍시,126.8715267,35.5645783
한호수내과의원,내과,완주군,127.0746299,35.9099015
의료법인 원광의료재단 익산원광효도요양병원,내과,익산시,126.9486577,35.9764261
부안효요양병원,내과,부안군,126.721325,35.7306346
