요양기관명,진료과목코드명,시군구코드명,좌표(X),좌표(Y)
한마음병원,내과,제주시,126.5462386,33.4962868
WE병원,내과,서귀포시,126.4441678,33.2860122
위앤장기만덕내과의원,내과,제주시,126.4782833,33.4858236
사회복지법인춘강부설제주춘강의원,내과,제주시,126.5016537,33.4938249
강형윤가정의학과의원,내과,제주시,126.4311431,33.4874382
성이시돌복지의원,내과,제주시,126.321149,33.3443063
안덕의원,내과,서귀포시,126.3342375,33.2466096
한마음병원,내과,제주시,126.5462386,33.4962868
제주한라병원,내과,제주시,126.4850403,33.489961
봉개의원,내과,제주시,126.5942097,33.4938859
구좌의원,내과,제주시,126.8592749,33.5208422
하동바툼낭의원,내과,제주시,126.4009273,33.4803185
이동구내과의원,내과,제주시,126.4897445,33.4865163
노동의원,내과,제주시,126.5321629,33.5148021
드림힐 요양병원,내과,제주시,126.6391594,33.4758911
제주하늘의료소비자생활협동조합제주하늘요양병원,내과,제주시,126.519688,33.5087412
제주내과의원,내과,제주시,126.5052588,33.4995171
우리들소아과의원,내과,서귀포시,126.5638319,33.2477781
하귀의원,내과,제주시,126.4055104,33.4820719
현창옥내과의원,내과,제주시,126.5284244,33.5019927
김수상내과의원,내과,제주시,126.5384586,33.5054994
남원의원,내과,서귀포시,126.714575,33.277842
의료법인 혜인의료재단 한국병원,내과,제주시,126.517062,33.500233
제주대학교병원,내과,제주시,126.5452109,33.4671105
대림외과의원,내과,서귀포시,126.5615398,33.2470758
삼다중앙의원,내과,제주시,126.4017699,33.4803451
윤성현내과의원,내과,서귀포시,126.5603803,33.2473592
김한신의원,내과,제주시,126.5370526,33.5043601
911 매일의원,내과,제주시,126.5435873,33.4777477
의료법인 중앙의료재단 중앙병원,내과,제주시,126.470529,33.4923256
제주특별자치도 서귀포의료원,내과,서귀포시,126.5639216,33.2555355
제주사랑요양병원,내과,제주시,126.6405416,33.5186314
삼양가정의원,내과,제주시,126.5840785,33.520881
동일내과의원,내과,제주시,126.5404718,33.5079414
서귀포내과의원,내과,서귀포시,126.5604326,33.2525855
서귀포열린병원,내과,서귀포시,126.5654153,33.2544709
제주푸른병원,내과,제주시,126.6391594,33.4758911
제주특별자치도제주의료원,내과,제주시,126.5608324,33.4449393
김수로의원,내과,제주시,126.2651881,33.4148723
토마토요양병원,내과,제주시,126.5333157,33.5022718
고순희내과의원,내과,제주시,126.5200334,33.4984472
사회복지법인인효원제주복지요양병원,내과,제주시,126.5382486,33.5052059
지오요양병원,내과,제주시,126.5203218,33.4995628
제주의료원부속요양병원,내과,제주시,126.5608324,33.4449393
탑동병원,내과,제주시,126.5221806,33.5176699
가톨릭정신건강의학과의원,내과,제주시,126.4793043,33.4868039
아라요양병원,내과,제주시,126.546916,33.4565645
새김녕의원,내과,제주시,126.7504358,33.5545604
연동365일의원,내과,제주시,126.4919722,33.4820782
정민구소아청소년과의원,내과,제주시,126.5802858,33.516764
한라정형외과의원,내과,제주시,126.4841194,33.4816707
사회복지법인제주공생부설임마누엘의원,내과,제주시,126.5818374,33.47094
고산사랑의원,내과,제주시,126.1793881,33.3024197
인혜의원,내과,서귀포시,126.5603791,33.2528292
바른정의원,내과,제주시,126.5313539,33.5115231
성연내과의원,내과,제주시,126.4756076,33.4889256
제주늘푸른의원,내과,제주시,126.524674,33.5068575
한사랑정신과의원,내과,제주시,126.5256545,33.5004189
제주삼성의원,내과,제주시,126.5278004,33.4954339
한경의원,내과,제주시,126.182807,33.3498487
제주제일의원,내과,제주시,126.536634,33.5136271
강문보내과의원,내과,서귀포시,126.2517162,33.2216652
의료법인 열린의료재단 서연의원,내과,서귀포시,126.5694834,33.2488217
애월의원,내과,제주시,126.3206153,33.4648663
(재) 사랑의 장기기증 운동본부 사랑의 의원,내과,서귀포시,126.6093724,33.2728028
서문의원,내과,제주시,126.5183853,33.5117364
제주미의원,내과,제주시,126.5200486,33.5001381
하루항외과의원,내과,제주시,126.5151861,33.5003202
용담의원,내과,제주시,126.5123414,33.5119115
위미의원,내과,서귀포시,126.6607155,33.2749749
닥터문의원,내과,제주시,126.4087407,33.4729153
문앤송소아청소년과의원,내과,제주시,126.5200837,33.4995654
중문삼성연합의원,내과,서귀포시,126.4229522,33.2526973
나우리제통의원,내과,제주시,126.2636125,33.4159154
표선의원,내과,서귀포시,126.8316215,33.3242496
현용준내과의원,내과,제주시,126.5403807,33.5078807
최선365의원,내과,서귀포시,126.9146143,33.4496121
조천부부의원,내과,제주시,126.63785,33.536942
바툼낭의원,내과,제주시,126.4815481,33.4759536
그린서울내과의원,내과,제주시,126.4801422,33.4836142
예일소아과의원,내과,제주시,126.4856225,33.4816308
아이사랑소아과의원,내과,제주시,126.5404718,33.5079414
