요양기관명,진료과목코드명,시군구코드명,좌표(X),좌표(Y)
충청남도 공주의료원,내과,공주시,127.1094762,36.458987
충청남도 홍성의료원,내과,홍성군,126.674413,36.599349
의료법인 영서의료재단 천안충무병원,내과,천안서북구,127.1314943,36.7974082
당진종합병원,내과,당진시,126.6844489,36.9044003
충청남도 서산의료원,내과,서산시,126.4652578,36.7755835
서산중앙병원,내과,서산시,126.5034636,36.7810108
재단법인 아산사회복지재단 부속 보령아산병원,내과,보령시,126.6228522,36.3811282
순천향대학교부속 천안병원,내과,천안동남구,127.1358588,36.8027381
아산충무병원,내과,아산시,127.0198062,36.7792648
단국대학교의과대학부속병원,내과,천안동남구,127.172575,36.8415904
충청남도 천안의료원,내과,천안동남구,127.1791797,36.7756271
의료법인 백제병원,내과,논산시,127.0944739,36.192193
의료법인 예당의료재단 예산종합병원,내과,예산군,126.8379717,36.6910744
(신)제일병원,내과,보령시,126.5935922,36.3436767
미래한국병원,내과,아산시,127.0161428,36.7830015
새금산병원,내과,금산군,127.4961495,36.1040385
학교법인 건양교육재단 건양대학교부여병원,내과,부여군,126.9017016,36.2755745
예산명지병원,내과,예산군,126.834262,36.713651
서천사랑병원,내과,서천군,126.6926458,36.1687808
천안우리병원,내과,천안동남구,127.1557347,36.7810029
의료법인 서해병원,내과,서천군,126.6875803,36.0844959
예일병원,내과,천안서북구,127.1217497,36.793049
의료법인 삼환의료재단 대천중앙병원,내과,보령시,126.6027675,36.3588711
열린내과병원,내과,당진시,126.6329616,36.8969521
국립공주병원,내과,공주시,127.1106466,36.4018088
육군훈련소 지구병원,내과,논산시,127.0996297,36.110917
SG삼성조은병원,내과,천안서북구,127.109134,36.8188843
천안센텀정형외과신경외과병원,내과,아산시,127.1057821,36.7974301
서울대정병원,내과,천안서북구,127.1080081,36.8115949
고려병원,내과,논산시,127.083814,36.2043935
화인메트로병원,내과,천안서북구,127.1370774,36.8335588
삼성스카이병원,내과,천안서북구,127.1389725,36.8267926
정빈의료재단 합덕아산병원,내과,당진시,126.7745171,36.8079385
천안재활병원,내과,천안서북구,127.1349515,36.8175781
의료법인 계룡의료재단 계룡병원,내과,계룡시,127.2569767,36.272599
마디손병원,내과,천안서북구,127.1064318,36.8064529
리더스아산병원,내과,아산시,127.0066852,36.7875456
당진성모병원,내과,당진시,126.6275531,36.893195
아이본병원,내과,천안서북구,127.1093305,36.8193168
천안리턴병원,내과,천안서북구,127.1096819,36.8204224
의료법인 광덕의료재단 도고온천요양병원,내과,아산시,126.9232567,36.7653239
의료법인아선의료재단메디케어요양병원,내과,천안서북구,127.1102028,36.8113154
장수요양병원,내과,홍성군,126.5690375,36.5526333
천안시립노인전문병원,내과,천안동남구,127.2268644,36.8254161
