요양기관명,진료과목코드명,시군구코드명,좌표(X),좌표(Y)
의료법인 자산의료재단 제천서울병원,내과,제천시,128.2062355,37.138611
청주현대병원,내과,청주흥덕구,127.4245707,36.6330102
의료법인 태성의료재단 제일조은병원,내과,음성군,127.5986293,36.9974858
의료법인 건명의료재단 중앙제일병원,내과,진천군,127.4404044,36.8585629
의료법인 명신의료재단 괴산서부병원,내과,괴산군,127.7927591,36.8067939
의료법인 힐링의료재단 옥천성모병원,내과,옥천군,127.5720099,36.3133286
의료법인 정민의료재단 보은한양병원,내과,보은군,127.718118,36.4832229
재단법인베스티안재단베스티안병원,내과,청주흥덕구,127.3216409,36.6364294
의료법인 송암의료재단 마이크로병원,내과,청주흥덕구,127.4503499,36.6339963
마디사랑병원,내과,청주상당구,127.49046,36.6381748
의료법인 조윤의료재단 영동병원,내과,영동군,127.7808937,36.1852368
(재)예수의꽃동네유지재단 인곡자애병원,내과,음성군,127.5776409,36.941804
의료법인 한미의료재단 김숙자소아청소년병원,내과,청주흥덕구,127.4754639,36.6440216
공군항공우주의료원,내과,청주상당구,127.5273823,36.5796793
의료법인 대광의료재단 괴산성모병원,내과,괴산군,127.7841693,36.8156182
의료법인 중원의료재단 충주중앙병원,내과,충주시,127.932996,36.9740593
의료법인 정산의료재단 효성병원,내과,청주상당구,127.4953372,36.6244786
씨엔씨푸른병원,내과,청주흥덕구,127.4298069,36.6258617
의료법인한마음의료재단하나병원,내과,청주흥덕구,127.4308627,36.6235047
의료법인성지의료재단제천성지병원,내과,제천시,128.2140323,37.1526759
청주성모병원,내과,청주청원구,127.4856545,36.6737973
충북대학교병원,내과,청주서원구,127.4614843,36.6242237
충청북도 청주의료원,내과,청주서원구,127.4730326,36.6402026
김앤권병원,내과,충주시,127.94429,36.9874307
청주프라임병원,내과,청주흥덕구,127.4276894,36.6306542
의료법인 인화재단 한국병원,내과,청주상당구,127.496538,36.619507
충청북도 충주의료원,내과,충주시,127.9706116,36.9796506
건국대학교 충주병원,내과,충주시,127.9288169,36.9789801
의료법인샘의료재단청주복음병원,내과,청주서원구,127.4650587,36.6348175
뿌리병원,내과,청주청원구,127.4867106,36.656826
윤성열내과의원,내과,청주흥덕구,127.456485,36.6435319
의료법인 솔트의료재단 예성요양병원,내과,제천시,128.217613,37.154683
한울내과의원,내과,청주흥덕구,127.4297681,36.6363125
이산부인과의원,내과,옥천군,127.5662975,36.2996633
고은몸매의원,내과,청주흥덕구,127.4353558,36.6267586
조성우내과의원,내과,제천시,128.2121673,37.1380458
의료법인정석의료재단제천하나요양병원,내과,제천시,128.2098091,37.1379101
청주삼성요양병원,내과,청주서원구,127.4854784,36.6119719
의료법인 목민의료재단 충주성모요양병원,내과,충주시,127.7903004,37.1004659
이재수내과의원,내과,청주상당구,127.4908522,36.6273295
손경락내과의원,내과,청주흥덕구,127.4555639,36.6343332
엠에스여성의원,내과,청주서원구,127.458725,36.6351333
한국건강관리협회충북세종지부건강증진의원,내과,청주흥덕구,127.4631936,36.6434145
(사)인구보건복지협회 충북세종지회 가족보건의원,내과,청주흥덕구,127.4495123,36.6329595
의료법인브루노의료재단보은요양병원,내과,보은군,127.6996722,36.4780722
메어리벳의원,내과,청주서원구,127.4675422,36.6114114
의료법인 문화의료재단 문화실버요양병원,내과,충주시,127.9239926,36.973133
의료법인 하람의료재단 청주탑요양병원,내과,청주서원구,127.478509,36.6007376
성심흉부외과의원,내과,진천군,127.4431715,36.8573409
녹십자외과의원,내과,청주흥덕구,127.4567957,36.6434895
의료법인 창곡의료재단 참조은요양병원,내과,옥천군,127.5658284,36.305451
금강의원,내과,옥천군,127.5686731,36.3035754
예미담요양병원,내과,청주청원구,127.4937146,36.6653891
이영두소아청소년과의원,내과,청주서원구,127.4583286,36.6350949
신화의원,내과,제천시,128.2091037,37.142209
최동석소아청소년과의원,내과,청주상당구,127.5043794,36.6100332
안광무내과의원,내과,청주서원구,127.4785175,36.6361975
오정진내과의원,내과,청주상당구,127.4916608,36.6320856
의료법인 현오의료재단 늘푸른요양병원,내과,충주시,127.7571965,37.1077992
손범수달빛의원,내과,청주흥덕구,127.4742698,36.6507112
의료법인 태종의료재단 음성요양병원,내과,음성군,127.6919239,36.9388209
조인식내과의원,내과,청주서원구,127.4580728,36.6350693
정덕용의원,내과,청주흥덕구,127.4408237,36.6162682
영동군립노인전문병원,내과,영동군,127.7957845,36.1941588
의료법인원광의료재단청주원광효도요양병원,내과,청주흥덕구,127.4529105,36.6363139
대한산업보건협회부설충북의원,내과,청주흥덕구,127.4371405,36.6445762
서원요양병원,내과,청주서원구,127.4297277,36.5820771
의료법인 노은의료재단 도은병원,내과,진천군,127.4484665,36.7584981
녹십자중앙의원,내과,청주서원구,127.4893427,36.6083328
예사랑병원,내과,청주상당구,127.5037975,36.5979138
진천의원,내과,진천군,127.444799,36.8547635
남궁요양병원,내과,청주상당구,127.4903599,36.6326346
청풍호노인사랑병원,내과,제천시,128.1747375,37.058575
도내과의원,내과,청주상당구,127.4907792,36.6315419
오창사랑의원,내과,청주청원구,127.4551132,36.7414526
충주호당의원,내과,충주시,128.0029114,36.9650691
의료법인 도담의료재단 도담노인요양병원,내과,옥천군,127.5748287,36.2626561
단양군립노인요양병원,내과,단양군,128.3687766,36.9871292
괴산연의원,내과,괴산군,127.7939551,36.8089469
조항복내과의원,내과,증평군,127.5790946,36.7818676
의료법인 의명의료재단 보은성모병원,내과,보은군,127.724531,36.4864623
반기석소아청소년과의원,내과,충주시,127.9336053,36.9728007
정기봉의원,내과,청주상당구,127.5028652,36.6248037
김병태내과의원,내과,청주서원구,127.4878734,36.6208147
양웅길내과의원,내과,청주흥덕구,127.4305178,36.6294091
의료법인가은의료재단 혁신성모병원,내과,진천군,127.5345922,36.9041588
김진용내과의원,내과,청주상당구,127.490127,36.6419764
김태룡내과의원,내과,청주흥덕구,127.4653225,36.646705
옥천제일의원,내과,옥천군,127.5670437,36.3018316
남재만내과의원,내과,충주시,127.9378929,36.9869071
의료법인 라온의료재단 오창호수병원,내과,청주청원구,127.4276905,36.7147578
백석기내과의원,내과,청주서원구,127.4856023,36.6128365
아이엠재활병원,내과,청주서원구,127.4886277,36.6229261
선하신경과의원,내과,청주서원구,127.4610547,36.6352475
이영희외과의원,내과,청주흥덕구,127.4507618,36.634048
옥산의원,내과,청주흥덕구,127.3741338,36.6633307
첼로병원,내과,청주청원구,127.4806708,36.6562862
충주시노인전문병원,내과,충주시,127.931075,37.048183
세광내과의원,내과,청주서원구,127.4858654,36.6113323
성천모내과의원,내과,청주상당구,127.5068869,36.6318768
이비뇨기과의원,내과,제천시,128.2114073,37.1382366
우외과의원,내과,증평군,127.581189,36.7842313
연국원내과의원,내과,충주시,127.9288634,36.9730524
백성흠정형외과의원,내과,충주시,127.9523069,36.9695251
제중내과의원,내과,충주시,127.9303615,36.9733712
윤호배내과의원,내과,충주시,127.932623,36.9715388
