행정기관,성별,infants,adolescents,young,middle,seniors
서울,남,275132,382756,1372064,1448543,1087804
부산,남,104384,136560,403835,513184,458967
대구,남,79691,111845,300998,381221,286121
인천,남,106199,140072,405050,501811,335358
광주,남,53781,77480,192606,233980,147624
대전,남,51804,72023,205203,231963,160058
울산,남,42873,57474,146413,195724,126647
세종,남,23171,24950,49263,65982,28846
경기,남,525824,679019,1882233,2325820,1432609
강원,남,48543,68211,178736,244130,231954
충북,남,54985,75423,205253,259960,215190
충남,남,76813,104652,263699,355952,286589
전북,남,55272,86138,196909,284327,255810
전남,남,57729,82733,192289,298951,281968
경북,남,83101,115278,289705,423619,397353
경남,남,115582,165218,375879,559914,429687
제주,남,27638,36603,80428,117595,76792
서울,여,260998,365938,1434661,1487260,1311248
부산,여,99091,129288,381017,521238,565975
대구,여,75976,104313,267087,395063,356673
인천,여,101018,132633,373409,490424,388507
광주,여,51305,72212,179023,237101,182396
대전,여,48948,67659,185000,233127,189734
울산,여,40551,52171,118910,189207,137776
세종,여,22491,24524,49631,63622,33129
경기,여,501751,646221,1714382,2258295,1637392
강원,여,46159,63032,148443,231468,273043
충북,여,52470,70047,167662,243690,249376
충남,여,73183,97517,217116,314075,335054
전북,여,52893,80251,173551,266238,313786
전남,여,55117,77740,161788,258812,346745
경북,여,78398,104585,232052,391896,477223
경남,여,109212,151976,315647,532431,513682
제주,여,26207,33846,74881,111041,92000
