행정기관코드,행정기관,총 인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,남 인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,여 인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
1100000000,서울특별시  ,"9,424,873","9,424,873","541,595","748,219","1,385,210","1,424,188","1,447,594","1,493,331","1,301,366","715,451","323,956","42,644","1,319","4,567,739","4,567,739","278,043","383,114","661,953","712,005","715,806","735,419","615,191","324,459","130,359","11,114",276,"4,857,134","4,857,134","263,552","365,105","723,257","712,183","731,788","757,912","686,175","390,992","193,597","31,530","1,043","9,427,583","9,427,583","538,645","749,786","1,384,235","1,421,598","1,447,879","1,493,759","1,304,067","716,454","326,835","42,976","1,349","4,567,957","4,567,957","276,524","383,461","661,122","710,997","715,835","735,532","616,430","324,687","131,894","11,185",290,"4,859,626","4,859,626","262,121","366,325","723,113","710,601","732,044","758,227","687,637","391,767","194,941","31,791","1,059","9,426,404","9,426,404","536,130","748,694","1,383,330","1,423,395","1,443,470","1,492,333","1,306,131","719,226","329,015","43,291","1,389","4,566,299","4,566,299","275,132","382,756","660,140","711,924","713,909","734,634","617,480","325,931","132,779","11,315",299,"4,860,105","4,860,105","260,998","365,938","723,190","711,471","729,561","757,699","688,651","393,295","196,236","31,976","1,090","9,422,710","9,422,710","533,058","746,534","1,380,665","1,425,142","1,439,498","1,490,099","1,311,159","720,855","330,629","43,651","1,420","4,563,512","4,563,512","273,465","381,663","658,279","712,872","712,085","733,168","620,115","326,601","133,509","11,452",303,"4,859,198","4,859,198","259,593","364,871","722,386","712,270","727,413","756,931","691,044","394,254","197,120","32,199","1,117","9,418,885","9,418,885","530,837","744,507","1,379,056","1,425,785","1,435,754","1,490,647","1,311,328","723,982","331,600","43,937","1,452","4,560,702","4,560,702","272,342","380,600","657,023","713,169","710,435","733,157","620,206","328,000","133,897","11,555",318,"4,858,183","4,858,183","258,495","363,907","722,033","712,616","725,319","757,490","691,122","395,982","197,703","32,382","1,134","9,414,093","9,414,093","528,601","742,606","1,376,043","1,426,858","1,433,451","1,490,305","1,312,500","725,930","332,435","43,869","1,495","4,557,609","4,557,609","271,154","379,698","655,191","713,709","709,242","732,824","620,795","328,888","134,220","11,558",330,"4,856,484","4,856,484","257,447","362,908","720,852","713,149","724,209","757,481","691,705","397,042","198,215","32,311","1,165"
1111000000,서울특별시 종로구 ,"141,223","141,223","6,317","10,077","22,200","19,302","19,918","24,190","20,345","11,438","6,492",912,32,"68,314","68,314","3,178","5,019","10,573","9,591","9,604","12,061","10,225","5,126","2,641",286,10,"72,909","72,909","3,139","5,058","11,627","9,711","10,314","12,129","10,120","6,312","3,851",626,22,"141,433","141,433","6,272","10,225","22,187","19,299","19,921","24,181","20,401","11,442","6,548",922,35,"68,399","68,399","3,163","5,062","10,546","9,626","9,603","12,026","10,270","5,140","2,662",289,12,"73,034","73,034","3,109","5,163","11,641","9,673","10,318","12,155","10,131","6,302","3,886",633,23,"141,060","141,060","6,203","10,169","22,071","19,312","19,743","24,133","20,433","11,459","6,576",927,34,"68,170","68,170","3,118","5,024","10,444","9,639","9,545","11,984","10,289","5,158","2,665",293,11,"72,890","72,890","3,085","5,145","11,627","9,673","10,198","12,149","10,144","6,301","3,911",634,23,"140,891","140,891","6,165","10,094","21,999","19,313","19,705","24,043","20,536","11,461","6,608",933,34,"68,079","68,079","3,098","4,986","10,414","9,643","9,519","11,937","10,335","5,168","2,669",300,10,"72,812","72,812","3,067","5,108","11,585","9,670","10,186","12,106","10,201","6,293","3,939",633,24,"140,601","140,601","6,125","10,069","21,929","19,345","19,563","24,007","20,542","11,443","6,609",935,34,"67,923","67,923","3,085","4,969","10,373","9,649","9,460","11,893","10,351","5,161","2,670",302,10,"72,678","72,678","3,040","5,100","11,556","9,696","10,103","12,114","10,191","6,282","3,939",633,24,"140,397","140,397","6,110","10,009","21,836","19,367","19,459","24,025","20,556","11,446","6,619",934,36,"67,834","67,834","3,078","4,930","10,337","9,665","9,408","11,915","10,356","5,164","2,668",303,10,"72,563","72,563","3,032","5,079","11,499","9,702","10,051","12,110","10,200","6,282","3,951",631,26
1114000000,서울특별시 중구 ,"120,317","120,317","5,939","6,290","17,525","19,880","16,749","19,367","18,064","10,236","5,404",836,27,"58,443","58,443","3,038","3,126","8,123","9,938","8,530","9,775","9,006","4,651","2,026",222,8,"61,874","61,874","2,901","3,164","9,402","9,942","8,219","9,592","9,058","5,585","3,378",614,19,"120,555","120,555","5,868","6,341","17,616","19,940","16,766","19,376","18,094","10,254","5,430",843,27,"58,557","58,557","2,996","3,152","8,187","9,999","8,511","9,758","9,027","4,654","2,043",223,7,"61,998","61,998","2,872","3,189","9,429","9,941","8,255","9,618","9,067","5,600","3,387",620,20,"120,963","120,963","5,855","6,370","17,691","20,062","16,874","19,341","18,166","10,275","5,458",844,27,"58,699","58,699","2,985","3,148","8,195","10,062","8,566","9,733","9,055","4,673","2,048",227,7,"62,264","62,264","2,870","3,222","9,496","10,000","8,308","9,608","9,111","5,602","3,410",617,20,"121,250","121,250","5,866","6,348","17,680","20,263","16,867","19,320","18,259","10,288","5,482",850,27,"58,806","58,806","2,978","3,141","8,180","10,161","8,567","9,707","9,087","4,688","2,062",229,6,"62,444","62,444","2,888","3,207","9,500","10,102","8,300","9,613","9,172","5,600","3,420",621,21,"121,346","121,346","5,855","6,293","17,674","20,375","16,898","19,249","18,268","10,366","5,483",857,28,"58,845","58,845","2,970","3,123","8,183","10,225","8,571","9,675","9,088","4,712","2,064",228,6,"62,501","62,501","2,885","3,170","9,491","10,150","8,327","9,574","9,180","5,654","3,419",629,22,"121,441","121,441","5,837","6,273","17,674","20,467","16,877","19,270","18,269","10,414","5,481",851,28,"58,857","58,857","2,958","3,113","8,175","10,270","8,568","9,669","9,094","4,719","2,056",230,5,"62,584","62,584","2,879","3,160","9,499","10,197","8,309","9,601","9,175","5,695","3,425",621,23
1117000000,서울특별시 용산구 ,"218,412","218,412","11,886","14,229","31,660","38,002","32,421","35,190","29,268","15,507","8,865","1,338",46,"104,974","104,974","6,072","7,246","14,732","18,832","15,993","17,250","14,272","6,790","3,382",397,8,"113,438","113,438","5,814","6,983","16,928","19,170","16,428","17,940","14,996","8,717","5,483",941,38,"218,175","218,175","11,790","14,228","31,509","37,903","32,424","35,186","29,355","15,467","8,925","1,341",47,"104,860","104,860","6,017","7,219","14,627","18,835","15,983","17,253","14,336","6,775","3,411",395,9,"113,315","113,315","5,773","7,009","16,882","19,068","16,441","17,933","15,019","8,692","5,514",946,38,"217,756","217,756","11,694","14,163","31,403","37,863","32,240","35,148","29,408","15,495","8,934","1,360",48,"104,640","104,640","5,950","7,175","14,546","18,848","15,898","17,258","14,341","6,802","3,417",396,9,"113,116","113,116","5,744","6,988","16,857","19,015","16,342","17,890","15,067","8,693","5,517",964,39,"217,611","217,611","11,645","14,121","31,244","37,999","32,180","35,005","29,510","15,539","8,953","1,364",51,"104,580","104,580","5,924","7,152","14,471","18,933","15,873","17,170","14,390","6,833","3,427",397,10,"113,031","113,031","5,721","6,969","16,773","19,066","16,307","17,835","15,120","8,706","5,526",967,41,"217,438","217,438","11,567","14,111","31,150","38,010","32,096","35,009","29,529","15,597","8,938","1,379",52,"104,495","104,495","5,879","7,150","14,434","18,932","15,838","17,168","14,397","6,851","3,434",402,10,"112,943","112,943","5,688","6,961","16,716","19,078","16,258","17,841","15,132","8,746","5,504",977,42,"217,288","217,288","11,537","14,061","31,107","38,038","32,054","34,912","29,586","15,627","8,940","1,369",57,"104,357","104,357","5,862","7,123","14,417","18,913","15,818","17,095","14,410","6,877","3,430",400,12,"112,931","112,931","5,675","6,938","16,690","19,125","16,236","17,817","15,176","8,750","5,510",969,45
1120000000,서울특별시 성동구 ,"280,707","280,707","18,105","18,461","42,016","45,472","42,218","44,914","38,372","20,089","9,840","1,177",43,"136,442","136,442","9,300","9,162","20,570","22,223","21,192","22,155","18,729","8,961","3,824",315,11,"144,265","144,265","8,805","9,299","21,446","23,249","21,026","22,759","19,643","11,128","6,016",862,32,"280,474","280,474","17,886","18,585","42,020","45,263","42,167","44,936","38,386","20,085","9,909","1,193",44,"136,361","136,361","9,192","9,247","20,608","22,097","21,144","22,191","18,759","8,950","3,843",318,12,"144,113","144,113","8,694","9,338","21,412","23,166","21,023","22,745","19,627","11,135","6,066",875,32,"280,240","280,240","17,763","18,679","41,933","45,283","41,922","44,916","38,396","20,122","9,966","1,215",45,"136,233","136,233","9,133","9,293","20,540","22,126","21,029","22,181","18,745","8,988","3,861",324,13,"144,007","144,007","8,630","9,386","21,393","23,157","20,893","22,735","19,651","11,134","6,105",891,32,"279,980","279,980","17,642","18,639","41,850","45,333","41,804","44,807","38,485","20,142","10,023","1,211",44,"136,059","136,059","9,060","9,269","20,454","22,177","20,945","22,134","18,789","9,008","3,886",325,12,"143,921","143,921","8,582","9,370","21,396","23,156","20,859","22,673","19,696","11,134","6,137",886,32,"279,760","279,760","17,538","18,561","41,781","45,463","41,644","44,770","38,459","20,190","10,082","1,227",45,"135,931","135,931","9,011","9,238","20,380","22,241","20,910","22,074","18,799","9,029","3,909",326,14,"143,829","143,829","8,527","9,323","21,401","23,222","20,734","22,696","19,660","11,161","6,173",901,31,"279,374","279,374","17,448","18,481","41,619","45,511","41,561","44,701","38,456","20,211","10,115","1,226",45,"135,723","135,723","8,955","9,205","20,289","22,270","20,859","22,026","18,804","9,047","3,923",331,14,"143,651","143,651","8,493","9,276","21,330","23,241","20,702","22,675","19,652","11,164","6,192",895,31
1121500000,서울특별시 광진구 ,"337,258","337,258","16,299","24,471","60,025","54,683","49,127","53,249","44,848","22,772","10,441","1,301",42,"162,460","162,460","8,397","12,345","28,015","27,232","24,107","25,924","21,437","10,406","4,229",356,12,"174,798","174,798","7,902","12,126","32,010","27,451","25,020","27,325","23,411","12,366","6,212",945,30,"337,071","337,071","16,188","24,469","59,976","54,563","49,126","53,101","44,964","22,777","10,562","1,304",41,"162,329","162,329","8,352","12,312","27,954","27,213","24,108","25,851","21,478","10,403","4,290",355,13,"174,742","174,742","7,836","12,157","32,022","27,350","25,018","27,250","23,486","12,374","6,272",949,28,"336,801","336,801","16,106","24,388","59,917","54,588","48,917","52,990","45,054","22,868","10,627","1,305",41,"162,209","162,209","8,312","12,294","27,931","27,204","24,026","25,795","21,520","10,440","4,315",359,13,"174,592","174,592","7,794","12,094","31,986","27,384","24,891","27,195","23,534","12,428","6,312",946,28,"336,558","336,558","15,965","24,318","59,679","54,688","48,759","52,890","45,269","22,938","10,698","1,312",42,"162,071","162,071","8,240","12,265","27,813","27,223","23,974","25,748","21,632","10,446","4,355",361,14,"174,487","174,487","7,725","12,053","31,866","27,465","24,785","27,142","23,637","12,492","6,343",951,28,"336,580","336,580","15,853","24,232","59,804","54,746","48,572","52,963","45,271","23,041","10,732","1,324",42,"162,020","162,020","8,185","12,199","27,867","27,240","23,894","25,773","21,620","10,490","4,379",360,13,"174,560","174,560","7,668","12,033","31,937","27,506","24,678","27,190","23,651","12,551","6,353",964,29,"336,169","336,169","15,722","24,146","59,603","54,769","48,552","52,830","45,320","23,120","10,728","1,337",42,"161,755","161,755","8,108","12,139","27,749","27,269","23,874","25,698","21,633","10,528","4,379",366,12,"174,414","174,414","7,614","12,007","31,854","27,500","24,678","27,132","23,687","12,592","6,349",971,30
1123000000,서울특별시 동대문구 ,"336,415","336,415","18,541","22,691","55,973","48,449","48,362","51,698","47,869","27,786","13,455","1,537",54,"165,657","165,657","9,427","11,560","27,020","24,950","24,906","26,145","23,336","12,464","5,412",427,10,"170,758","170,758","9,114","11,131","28,953","23,499","23,456","25,553","24,533","15,322","8,043","1,110",44,"337,293","337,293","18,453","23,014","56,449","48,361","48,338","51,780","47,912","27,800","13,584","1,548",54,"165,962","165,962","9,383","11,626","27,184","24,952","24,894","26,186","23,368","12,444","5,484",432,9,"171,331","171,331","9,070","11,388","29,265","23,409","23,444","25,594","24,544","15,356","8,100","1,116",45,"337,574","337,574","18,351","23,122","56,613","48,418","48,243","51,761","47,931","27,852","13,653","1,574",56,"165,933","165,933","9,326","11,663","27,152","24,988","24,859","26,149","23,368","12,463","5,518",436,11,"171,641","171,641","9,025","11,459","29,461","23,430","23,384","25,612","24,563","15,389","8,135","1,138",45,"337,692","337,692","18,258","23,066","56,576","48,558","48,151","51,716","48,125","27,847","13,748","1,589",58,"165,936","165,936","9,269","11,658","27,067","25,050","24,808","26,137","23,467","12,473","5,560",436,11,"171,756","171,756","8,989","11,408","29,509","23,508","23,343","25,579","24,658","15,374","8,188","1,153",47,"337,680","337,680","18,206","23,024","56,613","48,572","48,064","51,700","48,145","27,937","13,741","1,621",57,"165,868","165,868","9,258","11,631","27,030","25,076","24,745","26,128","23,443","12,553","5,544",448,12,"171,812","171,812","8,948","11,393","29,583","23,496","23,319","25,572","24,702","15,384","8,197","1,173",45,"338,115","338,115","18,243","22,922","56,653","48,688","48,069","51,825","48,264","27,982","13,791","1,622",56,"166,040","166,040","9,262","11,572","27,047","25,137","24,745","26,195","23,501","12,557","5,570",442,12,"172,075","172,075","8,981","11,350","29,606","23,551","23,324","25,630","24,763","15,425","8,221","1,180",44
1126000000,서울특별시 중랑구 ,"385,097","385,097","20,222","24,784","52,047","57,672","54,628","65,615","62,208","32,098","14,064","1,709",50,"189,367","189,367","10,308","12,674","25,167","29,598","28,369","32,452","30,100","14,651","5,626",412,10,"195,730","195,730","9,914","12,110","26,880","28,074","26,259","33,163","32,108","17,447","8,438","1,297",40,"385,129","385,129","20,121","24,790","51,897","57,524","54,682","65,592","62,402","32,133","14,229","1,710",49,"189,306","189,306","10,236","12,683","25,067","29,504","28,416","32,426","30,179","14,669","5,710",407,9,"195,823","195,823","9,885","12,107","26,830","28,020","26,266","33,166","32,223","17,464","8,519","1,303",40,"385,003","385,003","20,090","24,716","51,678","57,645","54,554","65,398","62,552","32,267","14,324","1,728",51,"189,186","189,186","10,220","12,630","24,911","29,564","28,382","32,284","30,261","14,765","5,751",409,9,"195,817","195,817","9,870","12,086","26,767","28,081","26,172","33,114","32,291","17,502","8,573","1,319",42,"384,867","384,867","19,998","24,642","51,586","57,638","54,414","65,149","62,870","32,369","14,410","1,740",51,"189,099","189,099","10,175","12,593","24,873","29,535","28,289","32,195","30,434","14,788","5,790",417,10,"195,768","195,768","9,823","12,049","26,713","28,103","26,125","32,954","32,436","17,581","8,620","1,323",41,"384,650","384,650","19,901","24,592","51,408","57,635","54,253","65,125","62,921","32,548","14,463","1,750",54,"189,019","189,019","10,129","12,571","24,772","29,536","28,238","32,181","30,463","14,875","5,818",426,10,"195,631","195,631","9,772","12,021","26,636","28,099","26,015","32,944","32,458","17,673","8,645","1,324",44,"384,272","384,272","19,782","24,519","51,235","57,649","54,084","65,038","62,963","32,653","14,528","1,762",59,"188,744","188,744","10,070","12,535","24,668","29,522","28,155","32,120","30,471","14,917","5,848",427,11,"195,528","195,528","9,712","11,984","26,567","28,127","25,929","32,918","32,492","17,736","8,680","1,335",48
1129000000,서울특별시 성북구 ,"429,967","429,967","25,703","36,034","65,326","57,365","65,772","70,346","57,553","32,977","16,750","2,092",49,"206,716","206,716","13,147","18,299","31,075","28,695","32,196","34,788","26,987","14,350","6,624",546,9,"223,251","223,251","12,556","17,735","34,251","28,670","33,576","35,558","30,566","18,627","10,126","1,546",40,"430,170","430,170","25,520","36,358","65,473","57,063","65,645","70,439","57,643","33,006","16,854","2,116",53,"206,753","206,753","13,033","18,409","31,154","28,576","32,153","34,812","27,015","14,372","6,673",545,11,"223,417","223,417","12,487","17,949","34,319","28,487","33,492","35,627","30,628","18,634","10,181","1,571",42,"430,100","430,100","25,405","36,358","65,558","57,007","65,381","70,452","57,728","33,097","16,922","2,139",53,"206,634","206,634","12,961","18,367","31,137","28,594","32,001","34,833","27,073","14,423","6,677",557,11,"223,466","223,466","12,444","17,991","34,421","28,413","33,380","35,619","30,655","18,674","10,245","1,582",42,"429,751","429,751","25,252","36,218","65,469","56,919","65,233","70,419","57,925","33,093","17,015","2,153",55,"206,367","206,367","12,888","18,287","31,034","28,524","31,945","34,809","27,162","14,422","6,719",565,12,"223,384","223,384","12,364","17,931","34,435","28,395","33,288","35,610","30,763","18,671","10,296","1,588",43,"429,689","429,689","25,173","36,169","65,460","56,879","64,989","70,536","58,005","33,203","17,046","2,172",57,"206,319","206,319","12,859","18,265","30,995","28,507","31,858","34,835","27,216","14,468","6,732",572,12,"223,370","223,370","12,314","17,904","34,465","28,372","33,131","35,701","30,789","18,735","10,314","1,600",45,"429,142","429,142","25,023","36,022","65,284","56,844","64,772","70,597","58,041","33,244","17,090","2,165",60,"206,043","206,043","12,795","18,183","30,919","28,483","31,780","34,837","27,232","14,492","6,734",574,14,"223,099","223,099","12,228","17,839","34,365","28,361","32,992","35,760","30,809","18,752","10,356","1,591",46
1130500000,서울특별시 강북구 ,"293,313","293,313","12,701","19,948","39,664","35,801","42,012","50,780","47,456","29,374","14,045","1,489",43,"142,435","142,435","6,510","10,155","19,276","18,775","21,616","25,115","22,303","12,606","5,660",407,12,"150,878","150,878","6,191","9,793","20,388","17,026","20,396","25,665","25,153","16,768","8,385","1,082",31,"293,119","293,119","12,631","19,970","39,546","35,763","41,800","50,796","47,520","29,336","14,210","1,504",43,"142,254","142,254","6,481","10,133","19,154","18,796","21,491","25,141","22,337","12,572","5,726",409,14,"150,865","150,865","6,150","9,837","20,392","16,967","20,309","25,655","25,183","16,764","8,484","1,095",29,"292,762","292,762","12,562","19,902","39,432","35,711","41,554","50,701","47,617","29,406","14,306","1,528",43,"142,028","142,028","6,437","10,100","19,063","18,778","21,376","25,088","22,404","12,594","5,757",418,13,"150,734","150,734","6,125","9,802","20,369","16,933","20,178","25,613","25,213","16,812","8,549","1,110",30,"292,383","292,383","12,457","19,842","39,325","35,654","41,356","50,532","47,853","29,400","14,382","1,534",48,"141,837","141,837","6,392","10,063","19,011","18,724","21,298","25,016","22,526","12,589","5,786",416,16,"150,546","150,546","6,065","9,779","20,314","16,930","20,058","25,516","25,327","16,811","8,596","1,118",32,"291,959","291,959","12,339","19,796","39,227","35,615","41,098","50,534","47,783","29,517","14,455","1,545",50,"141,577","141,577","6,353","10,027","18,920","18,716","21,188","24,994","22,502","12,640","5,804",417,16,"150,382","150,382","5,986","9,769","20,307","16,899","19,910","25,540","25,281","16,877","8,651","1,128",34,"291,384","291,384","12,229","19,719","39,027","35,518","40,881","50,521","47,831","29,543","14,512","1,551",52,"141,302","141,302","6,293","10,008","18,808","18,673","21,052","25,014","22,543","12,656","5,819",419,17,"150,082","150,082","5,936","9,711","20,219","16,845","19,829","25,507","25,288","16,887","8,693","1,132",35
